	Score	MoE	P-Value	Q-Value
IVNS1ABP	0.6414854276073765	0.0644189994229843	0.0277787176450685	0.5547699214365881
STAR	0.3519392962360887	0.2593308318276371	0.2160942874866069	0.9850481859410432
MDM4	0.2737220812850051	0.220363557844113	0.3206564033158518	0.9620681401101092
EIF2AK4	0.254589177277118	0.1641532746875443	0.3435515705182428	0.9544925874354984
NNT	-0.0958722426592623	0.1883801605249457	0.4526588845654993	0.8376291349264323
TXNRD2	-0.1378736421178249	0.1930093420557753	0.4228895279986466	0.8162041571444119
SMAD4	-0.20901503787214	0.1690101622848958	0.3555856313088592	0.788988988988989
NLRP3	-0.321057360728923	0.149321354956438	0.2260700389105058	0.6787842871655944
HP_CHRONIC_FATIGUE	-0.3817776730360731	0.1272538500292978	0.1668004012036108	0.7188760806916427
TP53	-0.4040229793435081	0.1138853628519611	0.1356736028872723	0.6396575751542902
SMAD3	-0.4627309976119298	0.3135741284143634	0.1008233237466869	0.6396575751542902
KRAS	-0.5261627520407945	0.1686251961706047	0.0686009135510066	0.6396575751542902
BRCA2	-0.5312669039876278	0.0954296132656808	0.0662437263858343	0.6396575751542902
CDKN2A	-0.6233412319481784	0.065123149336768	0.0314160040602266	0.6075245365321701
TK2	-0.6243178769882003	0.0393905131992102	0.0311453222804939	0.606476399560922
PALB2	-0.7875030565245348	0.0393804974214935	0.0044606101618451	0.4430232558139535
