	Score	MoE	P-Value	Q-Value
TGFBR2	0.8623389278322802	0.018944259182245	0.0002030113347995	0.1966666666666666
BCL2	0.79661540879254	0.0262729705027724	0.0033271302092144	0.3325842696629213
PIGA	0.7865855126192921	0.0472765131112405	0.0040207522697795	0.3492682926829268
MLX	0.7489983119440718	0.0396625202058476	0.0067557660858286	0.3909090909090909
FOXP1	0.7393623452741067	0.0603813516196862	0.0075960074437489	0.396100278551532
C9orf72	0.7181347209036878	0.0569588380146756	0.0103817740934979	0.4222477064220183
FAN1	0.6668945595318085	0.0576741602369708	0.0207579089832515	0.5056318681318682
STAT6	0.6660112354600259	0.0699130524438591	0.0209383635030733	0.5079343365253078
DDB2	0.6445376682527446	0.0723189580510239	0.0269384762871482	0.5494252873563218
IVNS1ABP	0.6414854276073765	0.0644189994229843	0.0277787176450685	0.5547699214365881
BIRC3	0.6212568942608913	0.0785141937745841	0.0339592849489652	0.5950592885375494
CFAP410	0.6129686131933318	0.1043552903814302	0.0363221113178819	0.6093779015784586
IKZF1	0.6042587494018227	0.1116185592280537	0.0391529915975864	0.6243705035971224
NPM1	0.6016412949340282	0.0557439757224806	0.0401511306603507	0.6293392070484581
SLC25A11	0.5876179892242438	0.1067070847765531	0.045175661196639	0.6577175697865353
IRF2BP2	0.570904774449387	0.0555157125653268	0.0536739412394969	0.7071322436849926
DNMT3A	0.5600434835102647	0.0808276066435903	0.0585067388484746	0.7255244755244756
PRKAR1A	0.5553181731223017	0.0978935860736031	0.0609879884960243	0.7334009465855307
NFKB2	0.5550634667931359	0.0825832015552135	0.0611346077933795	0.7334009465855307
MALT1	0.5545641863715656	0.1062204139756529	0.0614391247955788	0.7346594740391099
SLC25A4	0.544937247676841	0.1222818035625537	0.0665708002030113	0.7548695098663273
IL18BP	0.5374619298558752	0.1282768230176833	0.0704787683979022	0.771005552128316
SLC18A2	0.5144567274913642	0.0824368329163971	0.083381266565161	0.8144420131291029
PMS2	0.5070454360557396	0.0988688869783776	0.0878813511532171	0.8307455012853471
DLST	0.5009328643282982	0.0497579052838128	0.0910562228613319	0.8307455012853471
CD244	0.498655493354434	0.2688352805519611	0.0922404556476625	0.8325534079348932
FIP1L1	0.4961816168995082	0.1163803684639351	0.0935825861388372	0.8374999999999999
HMGCL	0.4955331241423675	0.3221889246492472	0.0939378559747363	0.8374999999999999
ATP13A2	0.4732072399836473	0.2232717399972104	0.1077821011673151	0.8731384193695753
BCL10	0.4692229411221948	0.0616111588113593	0.1102013195736762	0.8767368892873151
BCR	0.468387404223419	0.1673447820426837	0.1107539615406304	0.8783542039355993
POLG2	0.4494272078067493	0.0586136321723295	0.1238425534314554	0.9090536665301108
ERAP1	0.433712644691514	0.0541569794027357	0.1345288445271527	0.9239349341595664
ACADM	0.4319399463838073	0.1682255485446929	0.1357976653696498	0.9261136712749616
TARDBP	0.4278291368658544	0.2178958002738545	0.1386398240568431	0.9344355758266816
NAGS	0.4257490488396395	0.1665814492493992	0.1402808323464726	0.9372145263946088
SDHD	0.4236341418276766	0.1190677166289325	0.1418203349687024	0.9378669639539206
TAZ	0.418560093806371	0.1372567232350235	0.1452489708453166	0.9448642699926634
ATM	0.4134977168420182	0.1765627630763792	0.1493430327637737	0.9564102564102565
FUS	0.4070265317999402	0.2071743937410819	0.1545818530423504	0.9696498054474708
MORC2	0.404680231095698	0.1498657094467426	0.1574352901370326	0.9792994746059546
SH2B3	0.3758728927125149	0.0936483710522787	0.1834094625838831	0.994956712931153
GLE1	0.3702423983949661	0.1358170939131613	0.1899001860937235	0.9916896742131418
STAT3	0.3632530650456522	0.1875995548060461	0.1990244177522133	0.990135153964052
CHCHD10	0.3631967971367696	0.1628280091761219	0.1990751705859132	0.990135153964052
GLA	0.3630567774669721	0.1612802616253507	0.1992387074945018	0.990135153964052
STAR	0.3519392962360887	0.2593308318276371	0.2160942874866069	0.9850481859410432
CFH	0.3506470431377793	0.2216947822261819	0.2179213894998026	0.9846295770650014
KLRC4	0.3403029247759245	0.1872005143601764	0.2336491287430215	0.9806393418963776
COL5A2	0.3394025551437145	0.2352104868563748	0.2349799808267072	0.9806393418963776
TAF15	0.3389695420057582	0.2009638354211434	0.2356679636835278	0.9806393418963776
KIF1B	0.3309174643150124	0.2353842671197792	0.2481587999774432	0.9762214745465184
NAB2	0.3293273696920936	0.2332868091930009	0.2503919246602379	0.9758772573777712
NUMA1	0.320630992948087	0.2069062194908921	0.2629335137878532	0.9733194372068784
GATA6	0.3204071764416795	0.2278955343123411	0.2632211131788191	0.9732792014302742
PREPL	0.3203497080917963	0.1665885977725775	0.2632775052162635	0.9732792014302742
PHKA2	0.3192003582365867	0.1206970074210366	0.2649692663395928	0.9729417033664254
MLH3	0.3139146646368382	0.2591949272567747	0.2721028590762984	0.9724408859622868
SQSTM1	0.2984211265250409	0.1307054675887461	0.2918964642192522	0.9686974627901596
TCF3	0.2958665365536241	0.1886402299029629	0.2949698302599673	0.9682348397064504
SOD1	0.2896701749264861	0.135511378280436	0.3021992894603282	0.9678213950578668
HNRNPA1	0.2850833208656191	0.0966585712466223	0.3073422432752495	0.9654169614084728
TWNK	0.2840651236449502	0.1306790166674888	0.3085039192466023	0.965406085384071
RPS20	0.2793120552161233	0.1765573331921334	0.314069813342356	0.9637487126673532
MDM4	0.2737220812850051	0.220363557844113	0.3206564033158518	0.9620681401101092
SLC40A1	0.2653861869356836	0.240928140577965	0.3312468279478938	0.9581481780722308
EIF2AK4	0.254589177277118	0.1641532746875443	0.3435515705182428	0.9544925874354984
GLT8D1	0.2535233359077308	0.2057643234096997	0.3446173800259403	0.9543246348268504
UNC93B1	0.2488915957649271	0.2233261364041065	0.349399424801218	0.9538144329896908
SLC26A4	0.2251041918038527	0.2408763914316968	0.3748491512998365	0.945322759444018
PMS1	0.2232364294000275	0.2013150300277602	0.3768059549991541	0.94471301674069
TLR3	0.2227032513839121	0.183935357197735	0.3774431850222748	0.9445414099931556
UBA1	0.2164364661757009	0.1722737519414982	0.383916990920882	0.9419727539230904
TNPO3	0.2156164116065103	0.1735792126252043	0.3847233970563356	0.9413424208437582
MEN1	0.2092991734411957	0.1702926486508883	0.3915355551796086	0.9384969992171872
NEK1	0.1966251587836414	0.1916446686868972	0.4054305532058873	0.9349525751263188
CBL	0.1840850533135614	0.1829717880622846	0.4187672700614673	0.9283912808502972
SDHAF2	0.1839090567449144	0.2223635287296034	0.4188969717475892	0.9283912808502972
POLG	0.1703545660101556	0.2015490802522813	0.433643489539277	0.921887900192643
NLRC4	0.1697425046535274	0.1484734172727506	0.4343427508035865	0.9215322432482088
UBAC2	0.1524750404891663	0.2051233586305071	0.4516776631139683	0.9083893871449924
CARMIL2	0.1474830945613258	0.1774971298188078	0.4560875204421136	0.904887888169622
GPR35	0.1437039458549786	0.2088170595001132	0.4591834432978063	0.9032115275946506
MAX	0.1360461945816009	0.1458108900286664	0.4653132577680031	0.8989951654185231
MATR3	0.1330282234593611	0.2292707581644402	0.4678001466192973	0.8976034236804564
HESX1	0.1318399485800865	0.2311968587415232	0.4686911408109175	0.8972386212150066
ATXN2	0.1279481415533664	0.1139372022791025	0.4714317938307111	0.895980906921241
PIK3CA	0.1249309333169853	0.1511481268674116	0.4736592793097615	0.8943656573399771
STAT5B	0.1189853931190319	0.1194458692141246	0.4780804150453956	0.8923254917084459
ERCC3	0.0933744490361308	0.192432093651941	0.49474426211019	0.8797486993226661
LBR	0.0870628571762555	0.1821360841677355	0.4984379405627925	0.8771732702542874
ARMC5	0.0717315399600782	0.1597782293714129	0.4943607962555687	0.8709219153586331
DNM1L	0.0698135185167257	0.1279789006523841	0.4935825861388372	0.87058648111332
