	Score	MoE	P-Value	Q-Value
IL15	0.7477430956339602	0.0419293541045678	0.0150059211639316	0.5890743073047859
TRIB1	0.7174754488870282	0.0278271487087525	0.0202954942762082	0.5890743073047859
GPAT3	0.7109749913613855	0.0142729282074463	0.0213500253764168	0.5890743073047859
SPATA7	0.7029265664664041	0.0250247545415555	0.0227993007387356	0.5890743073047859
PZP	0.6745279162193898	0.0449530160676843	0.027942254553657	0.5890743073047859
CCT4P2	0.6607837872740571	0.038421320722269	0.0310720126318163	0.5890743073047859
NCF2	0.6407778570833144	0.0596795286158036	0.0358371397958608	0.5890743073047859
KLHL32	0.6329444175679299	0.040411078661845	0.0378390571251339	0.5890743073047859
CAMKK1	0.6185342380313362	0.05267853931651	0.0417075508938138	0.5890743073047859
ZMYM1	0.6053417068544934	0.0611261693582761	0.0454576213838606	0.5890743073047859
MYO5C	0.5822122398354457	0.0480002945192207	0.0529915975864207	0.5890743073047859
NAALADL1	0.5414815474072865	0.0979915337376725	0.0701742513957029	0.5890743073047859
KLHL3	0.5413610670278227	0.0875597519887165	0.0702306434331472	0.5890743073047859
HTRA1	0.5341841337473738	0.0727209121382017	0.0738002594033722	0.5890743073047859
RPS6KA2	0.5338117868693836	0.073567006033809	0.0739750747194496	0.5890743073047859
CPE	0.5174001904023394	0.1021668260228034	0.0828229853944623	0.5890743073047859
MPP1	0.5070889504397026	0.0569462873426624	0.0885016635651046	0.5890743073047859
BBOF1	0.4957668837952996	0.163843176450812	0.0950036654824338	0.5890743073047859
GRIP1	0.4931111839466431	0.1061942392796848	0.096430384029775	0.5890743073047859
TACO1	0.4930116427980671	0.0936105823350947	0.0964924152709637	0.5890743073047859
IGHV4-34	0.4872449184536546	0.1039437161053972	0.0998364630914114	0.5890743073047859
LIPT2	0.4806469930582485	0.0807315088237045	0.1034850279140585	0.5890743073047859
IGFBP3	0.4805914084728346	0.073007648320527	0.1035132239327806	0.5890743073047859
FAM110C	0.4733467195839045	0.0669433601940314	0.1081373710032143	0.5901834862385322
ZNF35	0.4243299277785746	0.0839814486270675	0.1439293971691197	0.6085598474010492
LTK	0.4164388292589297	0.0571241230682155	0.150837421756048	0.617219917012448
HHAT	0.407266721667869	0.0974070897451913	0.1582135002537641	0.6243880729862037
PLEKHA4	0.4024801083719319	0.0692771772224851	0.1624034286358766	0.6288646288209607
CA2	0.40086911375739	0.0548691539307304	0.1637850335532622	0.6306259475850119
MYO1D	0.4006132287691669	0.063703700587355	0.1640331585180172	0.6306259475850119
SYTL2	0.3946880917721521	0.0574302051062885	0.1693791236677381	0.6377070063694267
CHD7	0.3846852956123856	0.0735623311741953	0.1782495911577285	0.6450224398204815
DUSP4	0.3843065957282817	0.0725532956098529	0.1786105001973721	0.6454156479217604
TANC2	0.3736015827492984	0.0490331352169199	0.1883606834714938	0.6548090107737512
FKBP5	0.3670020977612817	0.1365216954064414	0.1950487791123893	0.6634951083828889
TIGD7	0.3650915448444303	0.0561802182994301	0.1970901708678734	0.6641961231470923
IL21	0.358482310111509	0.0704426075824577	0.2034681103028252	0.6698719138667161
RPL32P29	0.3554192265183104	0.0480254044795015	0.2068290757345063	0.6727538883806039
HYAL3	0.3357835621613821	0.1105131497260876	0.2281396266847121	0.6933184855233853
PLAC8	0.3229995663031582	0.20726826590514	0.2432978063497434	0.711429512516469
SORL1	0.3179249492351335	0.085194467201975	0.2491005470027632	0.7165936739659367
MREG	0.3024243154855002	0.0741879603319191	0.2685219646985846	0.7377104897265565
RASGRF2	0.2971578148145685	0.2162780424959002	0.2756217222128235	0.7433612167300381
SETD7	0.2964040336464338	0.1751591116213533	0.2764788811819771	0.7441786525359575
HOOK1	0.2941672438958632	0.1360716021679631	0.2793999887215925	0.7463995179270864
FAM172BP	0.2934558926098026	0.1463817899587097	0.2802909829132126	0.7466426318161333
TIRAP	0.2889715576191795	0.1607514074221653	0.2864997462358315	0.7544550044550045
TRAV26-1	0.2807348048209114	0.2227454518420019	0.2974849151299836	0.7637429439861051
ZNF134	0.2769073691745956	0.0656225713831426	0.3035639767664805	0.7708029197080292
CD55	0.2736154375141383	0.1045496857902984	0.3083742175604804	0.7734653465346534
TRIB3	0.2718607255707109	0.1421639269521332	0.3107201263181638	0.7750771821498736
IGLV1-47	0.2687747324564365	0.0359088324984857	0.3149495291264873	0.776740638002774
CENPBD1	0.2619859552015809	0.0370573169769784	0.324908362939153	0.7830168204015193
ZNHIT6	0.2591081882588587	0.2018590150022878	0.3312129927254271	0.7911428186835374
FAM131A	0.2566135449912776	0.1226865034210994	0.3352281057914622	0.7946166176863478
TNFRSF9	0.255743472795414	0.0365737264478462	0.3364179777815372	0.7955327376983597
C11orf21	0.2468949990662211	0.101213496028567	0.3499464275644279	0.805940337224384
RCAN1	0.2430810272438139	0.1107631718202162	0.3560029323859471	0.8093577746442764
IFI44L	0.2415400312502836	0.1004111337833391	0.3585236564597079	0.8118499682136046
ZNF749	0.2400096471362166	0.2254238408372785	0.3612135566458016	0.8127441034745118
GZMK	0.2369794623296921	0.1288477198430208	0.3666102746292223	0.8173820281124498
PLAG1	0.2356295877213119	0.1379541363894599	0.3687249760333841	0.818870523415978
TRAV39	0.2311021032564793	0.08996141263714	0.3777251452094964	0.8204921042967316
TNFRSF4	0.2295859109548416	0.1017813800578634	0.3804827158405233	0.8206879786070257
RAB19	0.2259441652036651	0.0646420106514981	0.3875993909659956	0.8261318602137624
CRLF2	0.2177174418078437	0.1707906963558408	0.4055997293182202	0.84340903769609
TNFSF8	0.2175824879339796	0.1540172684409307	0.4058816895054418	0.84340903769609
SPINT1	0.2130155181586493	0.1644117447144815	0.4146224553093103	0.8512559323995833
TOX2	0.2126103498976167	0.1951290967901894	0.4154965318896971	0.8521859819569743
SLC25A51	0.2120619358372874	0.1928008394974939	0.4165623413973947	0.852602423542989
LRRC32	0.2092025919204238	0.0782515389155922	0.423103817740935	0.8589467658843732
ZNF683	0.201808955499313	0.1840501213137013	0.4373146111769018	0.870554557700943
MVB12B	0.2008638340897042	0.2253303369231197	0.4390402075226978	0.8719001790510295
MEMO1	0.1973981437642634	0.1317603063937467	0.4450177634917949	0.8771257085695232
SPRYD7	0.1924095487714802	0.1499740373849976	0.4530818248463317	0.8836999560052793
RNF157	0.1863581794291288	0.1827570298525038	0.4616590537416117	0.891270358306189
BTG1P1	0.1806351953976659	0.1403784243984145	0.4695144645576045	0.8966437177280551
PSTPIP2	0.173045342523944	0.1971804737312964	0.4789601308295269	0.9016348195329088
GMEB2	0.1682221276907796	0.1846592139665155	0.483877516494671	0.9036631578947368
PTGDR	0.1630972569434765	0.1560700785209356	0.4901708678734562	0.9095128580388876
TMEM167A	0.1568519345230387	0.1797825322637267	0.4956972875429989	0.91139896373057
SOAT2	0.1544142263762596	0.2031158226725911	0.4977894321321829	0.9116392940936447
HAVCR1	0.1456816903702104	0.1467988565791039	0.495646534709299	0.9117653050830192
MAP1LC3A	0.1398924356552823	0.1337480797479572	0.4916427000507528	0.9129322548028312
APOBR	0.1360129633631459	0.1892416535636853	0.4889358822534258	0.913013698630137
BNIP3P11	0.1348458798263257	0.1639398742820239	0.4881915073591609	0.9131020613373554
TRBV7-2	0.1311162847032104	0.1947331171211862	0.4858681554164551	0.9137201844056924
DHRS13	0.1190960226051659	0.182576853800054	0.4790503580894377	0.9163811032980091
LCMT2	0.1070292374216015	0.1587387457670843	0.4731348333615293	0.9175244618395304
GCNT4	0.0775066405164215	0.1579985636598918	0.4637455591270513	0.9194044281156338
IFIT3	0.0754896678661563	0.180627289982149	0.4633338972537077	0.9196193972179292
IGLV2-8	0.0729324284883091	0.1712152662561091	0.4627305024530536	0.9198995848218596
C12orf66	-0.0412380735664937	0.1815627947365108	0.4568713697625895	0.9215676914263892
TNF	-0.0730163713042569	0.1693525093768881	0.4526758021767326	0.9220749929517904
ADORA2B	-0.0878052001600044	0.1563610953139137	0.4492584447076073	0.9220749929517904
SELL	-0.0921821737707905	0.1385294571126564	0.4481024079399989	0.9220749929517904
ENTPD1	-0.1015910899585484	0.1568014210046485	0.4449613714543506	0.9225325710000936
CCR2	-0.108785337607326	0.1453472020862459	0.441933119043591	0.9236699645323876
CYP27B1	-0.111769419753694	0.1774176879265039	0.4405515141262053	0.9244897959183672
IRGM	-0.1262749385213364	0.1277285483957262	0.4329667850899453	0.9276173784706208
TNFRSF18	-0.1303738784466139	0.1544004080144564	0.4302486888851294	0.928357935270927
BAG2	-0.1305452939843402	0.1629378851539767	0.4301866576439406	0.928357935270927
HOPX	-0.1393140165357063	0.1457138099827033	0.42473918682682	0.929146552509336
PTGER2	-0.1496205557416139	0.1765884427847724	0.4178537190548694	0.9317808466468092
CLOCK	-0.1706364102243647	0.1419260680919045	0.4014887497885299	0.9392373706095726
CD84	-0.1788735545211366	0.1142276090249671	0.3947217052952123	0.9428558882936682
MMRN1	-0.1843334375044187	0.1861199780007896	0.3888400157897705	0.946169952887803
TRBV11-1	-0.1887042268116383	0.1947028150961446	0.3851576157446568	0.9475888435137718
