	Score	MoE	P-Value	Q-Value
EIF2AK4	0.7077890865029055	0.0162278663866952	0.0107231835587223	0.9976791475217518
NNT	0.5041110029373135	0.0497861094950715	0.0949110561775968	0.9661832574503312
CDKN2A	0.3866926142053971	0.0734406996350149	0.166244971159905	0.9423159509202452
MDM4	0.288493884020147	0.0423219145907954	0.2555741360089186	0.9101445583269152
SMAD4	0.275972928471593	0.0601892628000989	0.2758339392176821	0.904594938241705
KRAS	0.2690406132077979	0.0551890538033182	0.2876777664679366	0.9000624655520854
STAR	0.2508469011678589	0.0551294296075939	0.3035456352091513	0.894675923043397
HP_CHRONIC_FATIGUE	0.2455180481484769	0.0564402602956097	0.3370771607743342	0.8438998149005089
BRCA2	0.2417269923761612	0.0500774133914418	0.3111313072560709	0.892325610598355
PALB2	0.2332560742217352	0.0692588294501337	0.3828597741263148	0.8735558452250275
TXNRD2	-0.1239184931880254	0.0544474477062181	0.4483849546798507	0.8025305803765074
NLRP3	-0.1632789608427203	0.0672245841226951	0.425845572197179	0.7947201660949629
TK2	-0.2185854375392631	0.0490501678031603	0.3798739760554505	0.7779371218883269
TP53	-0.3227777796481425	0.0358860428057932	0.2249081479327226	0.7127875902319153
BRCA1	-0.4355936975793411	0.0380563673199705	0.1347021472541321	0.6667410071942446
SMAD3	-0.4445401016623974	0.0406916828001329	0.128829431438127	0.664891331501374
IVNS1ABP	-0.4738844329222549	0.02349143913559	0.1041791478842518	0.6493170878459688
PALLD	-0.5487412756165214	0.0280758216149013	0.0726615287673888	0.6327946393378006
