	Score	MoE	P-Value	Q-Value
PMS2	0.7946868005628733	0.0073571535877463	0.0034797149920023	0.9994764219737482
EIF2AK4	0.7077890865029055	0.0162278663866952	0.0107231835587223	0.9976791475217518
SLC25A26	0.6248248882102184	0.0241320166233233	0.0279564732683825	0.9917665381192524
KCNN4	0.6236203634378309	0.0188591620039015	0.0282148223547089	0.9917665381192524
CD46	0.6168817995627588	0.0200354828790965	0.0297227473219911	0.991495789995047
SOD1	0.5781197244444124	0.1061280585875368	0.0395758809558431	0.9872218623885208
MLH1	0.5631904150480451	0.025023538745134	0.0562614512141922	0.9828948563929132
COL1A1	0.5615190038039669	0.0264612753404962	0.0574000290824487	0.9825788197251416
BTK	0.5421795085622647	0.0264936100222987	0.0735354563520915	0.9766106371021304
SQSTM1	0.5286332603551358	0.0294595351617901	0.0817226503804953	0.9728855338160528
NNT	0.5041110029373135	0.0497861094950715	0.0949110561775968	0.9661832574503312
ANXA11	0.4941906989565732	0.0211452803229292	0.0995026901265086	0.9642292920905128
CHMP2B	0.4909977656699656	0.0289763160050308	0.1010004362367311	0.963695313311857
CHCHD10	0.4714433307172385	0.0250664904541359	0.1100862779312684	0.9610966863843377
BCL10	0.4693022319674012	0.0281648616990458	0.1114909602055159	0.9606860227451391
CCNF	0.4691076247882386	0.0337605525513412	0.111598080558383	0.9606567085953878
EPCAM	0.4652102616836699	0.024594387031562	0.1155222723086617	0.959104430546066
SLC22A4	0.4606304969734985	0.0246079923401337	0.124687121322282	0.9572225166967032
DNAJC6	0.4413733327333721	0.024453619357383	0.1385802917939023	0.9518689086430332
ASXL1	0.4384088029656526	0.0536501451232129	0.140027143618826	0.9512691008525012
MORC2	0.4258485268595644	0.029008499371751	0.1462706606562939	0.9487568673920068
DMPK	0.4137198919793309	0.0365185557014122	0.1521874848528912	0.9467350362593352
COQ2	0.4092191812975769	0.0975151856913545	0.154380786195531	0.946162147505423
UBAC2	0.4081934582602401	0.0286823043231489	0.154941108041297	0.9459493327546924
AP2S1	0.4050123551157403	0.0324721517625511	0.156644370122631	0.9455250719834846
FIP1L1	0.4029057076967666	0.0318275871616835	0.1576845523726431	0.9451881661953448
GNAS	0.3888709459378499	0.0410692383209578	0.1651315980805583	0.942351203501094
CDKN2A	0.3866926142053971	0.0734406996350149	0.166244971159905	0.9423159509202452
MEN1	0.3594792123073413	0.0600522438046355	0.1830614124375939	0.9353615627948276
RPS20	0.3590563343526967	0.0462302880434187	0.1833934370607338	0.9352461837357756
PPARGC1A	0.3578033052741172	0.0177367429555174	0.1850986379719839	0.9352461837357756
PTPN3	0.3557445916089117	0.0508661299321648	0.1893151083321215	0.9336444320401898
ERBB4	0.3556233799370276	0.0189556301889632	0.1894828171198681	0.9336444320401898
ALB	0.3527785513755117	0.0205939840791555	0.1974669187145557	0.931646509534792
POU1F1	0.3511075805682714	0.0197331197475109	0.2020095972080849	0.9298209747557464
PROP1	0.3499454157748956	0.0187373014985349	0.2062934419078086	0.9276801495581236
PIGT	0.3490632724140944	0.0423705184577644	0.2106155784983762	0.9267654068777664
KCNQ1	0.3453482555996	0.0465431045221954	0.21668508555087	0.9260598246518824
ABL1	0.3438489807058745	0.0750934875074452	0.2176738888081043	0.9258943322625056
ERCC2	0.325737328406871	0.0767624563733193	0.2288798410159468	0.9216731359712648
NAGS	0.3196224557633524	0.0456600563807449	0.2328854636227037	0.9197019174898314
PRKACA	0.3143450519098173	0.0359158408743672	0.2363865057437836	0.9186617295469124
GLT8D1	0.3083015310062654	0.0226565928169761	0.2405845572197179	0.9167117196185128
BCL2	0.298852702278339	0.0529923289298056	0.2472274732199118	0.9139810510210086
MDM4	0.288493884020147	0.0423219145907954	0.2555741360089186	0.9101445583269152
FGFR1	0.2774179089906686	0.0898756354906842	0.2731229702874315	0.9056480308787168
SMAD4	0.275972928471593	0.0601892628000989	0.2758339392176821	0.904594938241705
TSHR	0.2712529933578458	0.0488643736080247	0.2851640734816538	0.9010732392645532
KRAS	0.2690406132077979	0.0551890538033182	0.2876777664679366	0.9000624655520854
HMGCL	0.2629935208760123	0.0600509147196054	0.2930725607096117	0.898676244857862
CBL	0.2526874816617776	0.0603493578190503	0.3019659735349716	0.895272286460276
STAR	0.2508469011678589	0.0551294296075939	0.3035456352091513	0.894675923043397
BRCA2	0.2417269923761612	0.0500774133914418	0.3111313072560709	0.892325610598355
IGLL1	0.2376952937215526	0.0146242803128851	0.3521118704861616	0.8898811104787201
LHX4	0.2376952937215526	0.0146242803128852	0.3521118704861616	0.8898811104787201
FOXA2	0.2376952937215526	0.015188379684314	0.3521118704861616	0.8898811104787201
CAV3	0.2376952937215524	0.0151883796843139	0.357923028452329	0.8833903905888573
NPM1	0.2367930491603786	0.0608811634238201	0.3800348989384906	0.8748759483288907
MAX	0.2338042638216109	0.0547344229941242	0.3824269303475353	0.8736402907295667
PALB2	0.2332560742217352	0.0692588294501337	0.3828597741263148	0.8735558452250275
SLC3A1	0.2247921722646869	0.051700605756181	0.3899481362997431	0.8701617809734513
PMS1	0.2214592383709969	0.0575608243418779	0.3926998206582328	0.8688056497957489
DUOX2	0.2176295018525942	0.0611234760316742	0.3957704425379283	0.8678304447692629
