	Score	MoE	P-Value	Q-Value
THRA	0.8645216055950411	0.0004471684005251	0.0029096989966555	0.083259361997226
ZNF583	0.8642073335031267	0.0011070782652578	0.0030507488730551	0.0861012311901504
PSTPIP2	0.8641429248475164	0.0008758507205776	0.0030798313217972	0.0868032786885246
RASGRF2	0.8637665748549115	0.0007593232294731	0.0032044011439096	0.0886193029490616
CD55	0.8634276045682033	0.0011944528793372	0.0033183074014832	0.0905416116248348
APBA2	0.8632940630580817	0.0006935936979942	0.0033619310745964	0.090586701434159
ZNF441	0.8632081306398133	0.0011398504010665	0.0033895594009015	0.0908181818181818
HOOK1	0.8621354159606078	0.0008121580551136	0.0036769909359701	0.095062656641604
TIGD7	0.8600950781947224	0.0022693749014561	0.0042474916387959	0.1030552291421856
LYPD3	0.8596519408592358	0.0012486619112497	0.0043454025495613	0.1042906976744185
LCMT2	0.8592874060942077	0.0019140102969649	0.0044467064126799	0.1055696202531645
HAVCR1	0.8588277435864368	0.0013597523483744	0.0045315302215113	0.1069679633867276
MCTP2	0.858558837015184	0.0013295215547555	0.004595026901265	0.1080523917995444
PLEKHA4	0.857259217644168	0.0035571657964912	0.0048383500557413	0.1118253079507278
SELL	0.8551503107469957	0.0014849832829068	0.005207212447288	0.1152518756698821
PLAG1	0.8446404957813978	0.0061448892659794	0.0069138674809752	0.134566037735849
IRGM	0.8430470860660405	0.0032964675611975	0.0071600988803257	0.1370686456400742
HMGB3P22	0.8419200145023348	0.0033348190690296	0.0073622218990839	0.1389661482159195
PLAC8	0.836700262012647	0.0050963421732894	0.0080950996073869	0.1449739583333333
BNIP3	0.826717335989253	0.0059300677855019	0.0093291648490136	0.1544703049759229
DPP4	0.8182504968102104	0.0108987641032732	0.0103276622558286	0.1622772277227722
DHRS13	0.8030061187667852	0.0119989425217004	0.0120823033299403	0.1733471645919778
RNF157	0.7962113318974229	0.0130416944652502	0.0128006398138723	0.1779582210242587
CHD7	0.7830621807839562	0.0151404928828396	0.0143628520188066	0.1870825456836799
C12orf66	0.7622777583394024	0.0173492741433897	0.0167170762444864	0.2008677926616191
ZNF256	0.761584537135391	0.0229134271960711	0.0167796035092821	0.2012674418604651
GCNT4	0.7601179178270026	0.0206703798516905	0.0169725170859386	0.2025375722543352
LIPT2	0.7518961176253458	0.0225193993352202	0.0179210896224128	0.2068998321208729
GPAT3	0.74786989223712	0.0200632315435005	0.0184009500266589	0.2099834437086092
WDR3	0.7416334293081861	0.0241328892186622	0.0191629101837041	0.2138182801514332
DTX1	0.7158479407283991	0.0236141653726558	0.0226600746449517	0.2293915603532875
SLC25A4	0.6897512266432896	0.0265350246633843	0.0266031699869128	0.2471184151283205
WNT1	0.6766922901543287	0.0378678220435017	0.0352028500799767	0.2953170731707317
CENPBD1	0.6753848899743526	0.0287795315727927	0.0365823275653143	0.3017712914834066
MPP1	0.6743081387305278	0.0301215736105688	0.0377083030391159	0.3072511848341232
FAM131A	0.6724731292971997	0.0967927229827192	0.0427860985895012	0.3351612903225807
LRRC70	0.6669009690597949	0.0686149120124045	0.0465576074838834	0.3515179224579371
IGLV2-8	0.6637944582251775	0.0529041848330185	0.0483796228975813	0.3573648406731113
SVIL	0.6604306789740296	0.0707313129796098	0.0504032766225582	0.3646107994389901
EGFL8	0.6585815540481935	0.0338705730266436	0.0515021084775338	0.3684396671289874
IGF1R	0.6566537834919651	0.0350988595800654	0.0528316610925306	0.3725606008876749
GMEB2	0.6526944226710064	0.0291725634137402	0.0550385342445833	0.3779913535084803
BOLA1	0.6473244733661591	0.101919809864488	0.0573675536813533	0.3838955562763542
TANC2	0.6470407161852321	0.0482064619110337	0.0574664340070767	0.3839032258064516
DPH5	0.6443117088191951	0.0376670151429151	0.0583427851291745	0.3855715658021133
ADAM23	0.6409026388202199	0.0288367536235454	0.0595157772284426	0.3885605820942739
BAG2	0.6387644049691186	0.0503312236898657	0.0603005186370025	0.3905863907180934
TNFRSF10B	0.6331483784937502	0.0587552774947469	0.0622810333963453	0.3967026860142019
SPINT1	0.6144929526015431	0.0249198430806014	0.0687470311666909	0.4127823050058207
SETD7	0.6125064583366606	0.0373265003543008	0.0694673064805389	0.413782069760738
ENPP5	0.6068754783241879	0.0249533506294064	0.0713809316077747	0.4186071631608869
CTSW	0.5955239237274277	0.055835312653667	0.0752057583248509	0.428610497237569
GOLGA7B	0.5856565138189788	0.0315536631737976	0.0782187000145412	0.4365369018653691
SGTB	0.5791675221902534	0.1073057230215582	0.0802995492220444	0.4396656050955413
ZNF134	0.5534688845538731	0.0650321798371953	0.0887509088265231	0.4601708972103543
GRIP1	0.5470417268603894	0.0493559627719775	0.091026610440599	0.4656508802380362
KLHL3	0.5387922587116615	0.0711462281305365	0.0936769909359701	0.4712353801169591
ZNF33B	0.5343041727627647	0.0334852367367232	0.0952043042024138	0.474549408069582
INTS5	0.4974884933941	0.0640819429541329	0.1076612864136493	0.499923475129417
TLR5	0.489184526394581	0.0680073608847093	0.1106858610828365	0.5051006414510064
C11orf21	0.4607678574430948	0.0743955403393292	0.1211817168338907	0.5267804466919511
TIRAP	0.4390308999670033	0.0680109215247256	0.1298347147496485	0.5417739340305713
YAP1	0.4383591299153653	0.0310287594712836	0.1300770684891667	0.5417739340305713
IGLV1-47	0.4371110339214065	0.0524691978246633	0.1671159904997334	0.5979483177245924
KLHL32	0.4363274875804463	0.0764813753045908	0.1763026513499103	0.6146164244677257
TXK	0.4336963911828883	0.0773195195418288	0.1778100916097135	0.6166414523449318
PIANP	0.4330354688064203	0.1080740094734927	0.1783025544084145	0.6175188853449723
FAM117B	0.42438542612105	0.0309658980376488	0.1949304444767582	0.6365665032421319
ZMYM1	0.4235739609112401	0.0690149694928349	0.1970015995346808	0.6387839748625296
SUSD4	0.4231785873547246	0.0296288154194013	0.1980141534583878	0.6402178341952672
GZMK	0.4213142029922115	0.1003030232194866	0.2022621298046628	0.6437627275532243
RNF144A	0.4189097767830392	0.0814474314904613	0.2072012990160438	0.6489177292046144
SYNGR1	0.4182209430069271	0.072240640689681	0.2085187339440647	0.6512484866828088
TNS2	0.4175141277643397	0.1029612638984423	0.2097634627502302	0.6529315027157513
RPS6KA2	0.4126374193895547	0.0877211777926848	0.2156516892055644	0.6585777646363098
CA2	0.4094136430467513	0.0670961212080001	0.2184911056177597	0.6605946975245349
ZNF683	0.4090385559343084	0.0897451024792882	0.2187387911395472	0.6608288182750037
IFI44L	0.4050088943536915	0.0703371797694992	0.2217226503804953	0.6645554749818708
DPP10	0.3975581606605344	0.0817206200110001	0.2262095875139353	0.6678491700057241
CMTM8	0.3971631592510513	0.1028313076811389	0.2264359459066453	0.6681589479702686
IL15	0.3964933687814685	0.0725218926412094	0.2268334060394551	0.6684799657778412
NAALADL1	0.39502560179306	0.0757273526211532	0.2277572584944985	0.6685671852899575
SLC25A51	0.3874518326713687	0.0651796357799322	0.2328471717318598	0.673376787216148
C3orf33	0.3856654908446032	0.0919761050766658	0.2339920507973438	0.6745670391061452
CALY	0.3620982742622834	0.0667228366350497	0.249960738694198	0.6895226634576815
SPATA7	0.3511391581376481	0.0815777606764353	0.2576181474480151	0.6977707758960221
ZBTB9	0.3371304372909385	0.0916297054148388	0.2673762784159759	0.7087986637543363
AQP3	0.3198901600856172	0.0873568795375786	0.2794833018273472	0.7210790197549387
HHAT	0.3085197379828719	0.0981370972200335	0.2868920556444186	0.7276312231100184
SPRYD7	0.304096795190818	0.0852617051264237	0.289960253986719	0.7301281425433244
WNT10B	0.2986371247431352	0.0851379235320157	0.2935674470457079	0.7340431462852988
SLC14A1	0.2956052005520349	0.0966282587274266	0.2957205176675876	0.7362145529142029
TACO1	0.2873380792488919	0.0900624552360751	0.3012679947651592	0.7405528416537591
TNFRSF9	0.2782505226576391	0.0915792032575721	0.3074727352043042	0.7470972680169572
ACSL6	0.2682934723212032	0.0927170972216081	0.3157728660753235	0.7543482287566565
CD68	0.2682573613072017	0.0787284954880011	0.3158383015849934	0.7543482287566565
CCT4P2	0.2627773455046261	0.0822628233858159	0.3277189666036547	0.7633100101568672
ZNHIT6	0.2611743407992783	0.0958592448243134	0.3343827250254471	0.769423377202766
GTF2E1	0.2606610106975069	0.0800562856127963	0.3368697591003829	0.7706486306685885
MMRN1	0.2578455066166032	0.0878122967735823	0.3430206970093548	0.773765580581675
ADORA2B	0.2243953468441976	0.0908794839154383	0.3664897484368183	0.7939227215455691
PLCB1	0.2214746610068154	0.0901601184445015	0.3684673549512869	0.795962726416082
TRAV26-1	0.2083843451859388	0.0982519296687486	0.3771407105811643	0.8022644815501958
BNIP3P11	0.2001874114562841	0.0948761009282391	0.3823454994910572	0.8066714373338785
THEM6	0.1489840834507273	0.090760886649304	0.4108225485919248	0.833072537841557
SORL1	0.1246438026592328	0.0918033846651601	0.4214633318792109	0.8428794339988369
TRBV30	0.1091391712098478	0.0813542959241588	0.4276617711211284	0.8479046978576232
IGHV4-34	0.0631931427657662	0.0801915876008528	0.4413222820028113	0.8571616789008093
IFIT3	0.0162188472318312	0.0867322813577179	0.4548272017837235	0.8625369978858352
LRRC32	-0.0089088700733383	0.0849440654541291	0.4758446027822209	0.8778107115401043
SOAT2	-0.0108823574123762	0.1009287416382152	0.4736716591537007	0.8778107115401043
TLE1	-0.018892518397874	0.0902034377547836	0.4666322524356551	0.8793961088183274
ANKRD20A1	-0.0336493429345641	0.0966466099906161	0.4610818670932092	0.8814849168546836
TRIB3	-0.0371411463831467	0.096154931111052	0.4601206921622801	0.8814849168546836
CCL3L3	-0.0417328516074373	0.0948030067206741	0.4591226794629441	0.8816857309843867
ZNF749	-0.0668465821567338	0.0850641138841109	0.453635306092773	0.8853662380754875
TRBV7-2	-0.0811804534716475	0.0885682331839827	0.4498914255246958	0.8883836046607719
MYO1D	-0.1009125362447584	0.0874502764745494	0.4435999224468033	0.8922958346999016
RAB19	-0.1108255147324451	0.0842673886890126	0.4399345644903301	0.8947775328598253
PECR	-0.1116304401827518	0.0950714848341101	0.4396728224516504	0.8947877551020407
