	Score	MoE	P-Value	Q-Value
SLC25A1	0.5480900139226146	0.0504974649437366	0.0906693810285492	0.4648099378881988
AGRN	0.4194553574422344	0.0753605460211152	0.2060796859095535	0.6481635449977158
PDHA1	0.3843705870716085	0.0994476609797446	0.2347932722601909	0.6752188458321717
HP_APNEIC_EPISODES_PRECIPITATED_BY_ILLNESS_FATIGUE_STRESS	0.3587371058114063	0.0807223759255986	0.2414259747341634	0.8417654437127626
CHAT	0.2669418474518144	0.1043974705844492	0.3180146381658669	0.7561922855497986
SNAP25	0.2591146450714472	0.0878742889641296	0.3418675779167272	0.7726005038887063
MYO9A	0.1436175142799164	0.0934163408259087	0.4134312442440986	0.8353436459761111
VAMP1	-0.0970183560044444	0.0859835679796773	0.4449653434152489	0.8913314168377824
SYT2	-0.2647909380431008	0.0955304855876702	0.3347060249139644	0.935450852965069
CHRNE	-0.3951843371145407	0.0862719727590089	0.2375798555571712	0.8295043139908644
