	Score	MoE	P-Value	Q-Value
IVNS1ABP	0.6011229863186536	0.1029309369433066	0.0918626289967856	0.9627659574468086
NNT	0.4725756701391372	0.3378928971058166	0.1598601477471381	0.9905739338381826
EIF2AK4	0.4546951177795084	0.2439205620428225	0.1805898607116675	0.97553362867499
TXNRD2	0.3923440879917049	0.3172863515999618	0.2364236169852816	0.9646751618968036
MDM4	0.3768308654141848	0.312871949231483	0.2527378334179214	0.9646751618968036
STAR	0.3758562016516682	0.3756311658242842	0.2537585292956634	0.9646751618968036
SMAD3	0.3612351847589038	0.2977903610151649	0.2747025320024812	0.9591792656587472
HP_CHRONIC_FATIGUE	-0.1888372168319436	0.2364440715413614	0.4102306920762287	0.9903815580286168
SMAD4	-0.2798842472481758	0.268735371756771	0.3301246264027519	0.8084127416280968
TP53	-0.3046729282836299	0.2986132574543518	0.3057237918005978	0.8032716506291636
KRAS	-0.3257465222098333	0.3524510129948959	0.2796988665200474	0.8032716506291636
NLRP3	-0.4069503082150196	0.2545580932405303	0.1808154288614447	0.8032716506291636
TK2	-0.4667866425687595	0.0866067546302036	0.1300005639203744	0.7562275253350768
CDKN2A	-0.4784988805515839	0.0997350523118972	0.1236451813004003	0.7518592964824121
BRCA2	-0.6439670249050238	0.1252243936378716	0.0468617831162239	0.6754457050243111
PALB2	-0.7730896753128977	0.057891087030645	0.0143235775108554	0.5586813186813187
