	Score	MoE	P-Value	Q-Value
TGFBR2	0.8632105643672913	0.0022308556250806	0.0009868606552754	0.356
PIGA	0.8602423991305231	0.0040984085363053	0.0017537923645181	0.3746987951807228
MALT1	0.8523376436793062	0.0141633643287781	0.0035470591552472	0.420125786163522
BCL2	0.8291623169220409	0.004478651202829	0.0094964191056222	0.5908771929824562
MLX	0.79237448349629	0.0492958197254497	0.016489031748717	0.6846153846153846
CFAP410	0.7663531579794853	0.067869539228133	0.0320645124908362	0.9580113996200128
SLC25A11	0.7470224214611961	0.0287365304388506	0.0369142277110472	0.9580113996200128
IKZF1	0.7381781017429926	0.0690695811286909	0.0394180341735746	0.9580113996200128
FOXP1	0.72935397516744	0.0710999184657241	0.0416906332825805	0.9580113996200128
SLC25A4	0.7070637235299537	0.0632935442681623	0.0470309592285569	0.9580113996200128
C9orf72	0.707013759262282	0.0605953389194008	0.0470309592285569	0.9580113996200128
PRKAR1A	0.7005476496979074	0.065885155461015	0.0486606891106975	0.9580113996200128
IRF2BP2	0.6573278781612191	0.1137090452988064	0.0649128743021485	0.9580113996200128
CD244	0.6561091136824034	0.2232251197122187	0.0655106298990582	0.9580113996200128
STAT6	0.633056201726006	0.0812637239346484	0.0768849038515761	0.9580113996200128
NPM1	0.6250669964671846	0.1153109218965758	0.0809394913438222	0.9580113996200128
ACADM	0.6207338157372866	0.1109755396533504	0.0830993063779394	0.9580113996200128
ATP13A2	0.6169926040935346	0.2595412536707754	0.0848474595387131	0.9580113996200128
STAT3	0.6084164411681309	0.1315502159747729	0.0886031692325043	0.9589328537170264
IVNS1ABP	0.6011229863186536	0.1029309369433066	0.0918626289967856	0.9627659574468086
HMGCL	0.591006243304648	0.2938631213732334	0.0965770033271302	0.9665727170236752
TLR3	0.5832383910086293	0.1057279023213675	0.1003214346134325	0.9692110655737703
UNC93B1	0.5807827648564968	0.0872727132206726	0.101635369085885	0.9692110655737703
GLE1	0.5775981143249195	0.2356141693906052	0.1030902836519483	0.9692110655737703
TARDBP	0.5629234275782176	0.094562307310634	0.1096204815879997	0.9699551569506728
IL18BP	0.5548253957652061	0.1008786489651089	0.1136807082839903	0.9761401824291888
FUS	0.5498239650509399	0.3840659535946051	0.1159194721705295	0.9788397527341892
FAN1	0.5441124912827686	0.130175009650731	0.1191676535273219	0.9857142857142858
TAF15	0.5415468344730064	0.1264529221860411	0.1206958777420628	0.9887221464301956
BIRC3	0.5389650398907258	0.0896543460994122	0.1219646985845598	0.9887221464301956
MYD88	0.5389196846271503	0.0838497230266783	0.121992894603282	0.9887221464301956
RPS20	0.5311990010758112	0.2802903668357344	0.125889584390684	0.9930820399113084
POLG2	0.5119334490466595	0.2133263466215929	0.1366266283200812	0.996640872317974
HESX1	0.4961303488287998	0.1651041682545997	0.1455986014774714	0.9946647440519109
MORC2	0.4904623861240552	0.3460016615021338	0.1485479050358089	0.9944089562067828
GPR35	0.483789202703381	0.2740544927838433	0.1526645237692437	0.9929760803488832
DDB2	0.4766298788948961	0.3607216982989034	0.1571476907460666	0.9911472148541116
BCR	0.4764852563381203	0.2365802251242176	0.1572661140246997	0.9911472148541116
IGHM	0.4754110500876923	0.373404488710907	0.1579822929002425	0.9908753069214944
PREPL	0.4731253770165189	0.1049497721446877	0.1595556307449388	0.9905739338381826
NNT	0.4725756701391372	0.3378928971058166	0.1598601477471381	0.9905739338381826
ATM	0.4678344910301359	0.2827423624069189	0.1626402751931427	0.9895968010663112
NFKB2	0.461283024954242	0.0930671935228546	0.1761574465685445	0.9772040133779264
NAGS	0.4604453974593603	0.1120942088634244	0.1767044493317543	0.977015724322516
EIF2AK4	0.4546951177795084	0.2439205620428225	0.1805898607116675	0.97553362867499
POMGNT1	0.4526378956811367	0.3832450853380542	0.1817628150905092	0.9751881720430108
BCL10	0.451138498588552	0.186535842133475	0.1827102013195737	0.9746738399462004
GLA	0.4499679450702963	0.2321818338692158	0.1837252579935713	0.973836114101184
PMS2	0.4372746498680609	0.1038976388491529	0.1920318051091186	0.9718781794750052
GLT8D1	0.4331056724982944	0.1881231957971641	0.1949585518524784	0.9704506831622596
SLC18A2	0.426939369594034	0.3563691534672208	0.2003327130209214	0.9690767443449736
DNMT3A	0.4112944974724687	0.0926140120484774	0.2170473129194157	0.965204109969453
KIF1B	0.4092373310858792	0.2543779917209375	0.2190097558224778	0.9646751618968036
TWNK	0.4031431170451242	0.1891467259811526	0.2256696554446512	0.9646751618968036
TXNRD2	0.3923440879917049	0.3172863515999618	0.2364236169852816	0.9646751618968036
OPA1	0.3895017282009128	0.2713667423883294	0.2392037444312863	0.9646751618968036
DLST	0.3894549939422457	0.2543106605726064	0.2392826932837083	0.9646751618968036
KLRC4	0.3830424159324183	0.1062300979811727	0.2456493543111712	0.9646751618968036
