Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
136-1_S1_L004_R1_001	61.05208321277772	48.0	76.0	27.27272727272727	42887011.0
136-1_S1_L004_R2_001	60.52034088601142	48.0	76.0	27.27272727272727	42887011.0
136-2_S2_L004_R1_001	68.24294325395698	49.0	76.0	18.181818181818183	54067643.0
136-2_S2_L004_R2_001	65.50259315932391	49.0	76.0	9.090909090909092	54067643.0
136-3_S3_L004_R1_001	59.31642478898834	48.0	76.0	27.27272727272727	42872313.0
136-3_S3_L004_R2_001	58.82871476569281	48.0	76.0	27.27272727272727	42872313.0
136-4_S4_L004_R1_001	60.317358934982536	48.0	76.0	18.181818181818183	45463821.0
136-4_S4_L004_R2_001	59.809846256168235	48.0	76.0	18.181818181818183	45463821.0
136-5_S5_L004_R1_001	60.51768533426049	48.0	76.0	27.27272727272727	45927285.0
136-5_S5_L004_R2_001	60.54136664615689	48.0	76.0	27.27272727272727	45927285.0
136-6_S6_L004_R1_001	63.0938299634267	48.0	76.0	18.181818181818183	47562788.0
136-6_S6_L004_R2_001	62.284637225332034	49.0	76.0	9.090909090909092	47562788.0
136-7_S7_L004_R1_001	60.86561477343355	49.0	76.0	18.181818181818183	38427724.0
136-7_S7_L004_R2_001	58.93341227593331	49.0	76.0	9.090909090909092	38427724.0
136-8_S8_L004_R1_001	62.110134121730624	50.0	76.0	27.27272727272727	48557290.0
136-8_S8_L004_R2_001	60.21621341107778	50.0	76.0	27.27272727272727	48557290.0
Undetermined_S0_L004_R1_001	79.42309778904757	45.0	76.0	18.181818181818183	34004348.0
Undetermined_S0_L004_R2_001	72.51584980888632	45.0	76.0	18.181818181818183	34004348.0
