Module	Section	Sample Name	Source
FastQC	all_sections	136-1_S1_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-1_S1_L004_R1_001_fastqc.zip
FastQC	all_sections	136-1_S1_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-1_S1_L004_R2_001_fastqc.zip
FastQC	all_sections	136-2_S2_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-2_S2_L004_R1_001_fastqc.zip
FastQC	all_sections	136-2_S2_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-2_S2_L004_R2_001_fastqc.zip
FastQC	all_sections	136-3_S3_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-3_S3_L004_R1_001_fastqc.zip
FastQC	all_sections	136-3_S3_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-3_S3_L004_R2_001_fastqc.zip
FastQC	all_sections	136-4_S4_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-4_S4_L004_R1_001_fastqc.zip
FastQC	all_sections	136-4_S4_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-4_S4_L004_R2_001_fastqc.zip
FastQC	all_sections	136-5_S5_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-5_S5_L004_R1_001_fastqc.zip
FastQC	all_sections	136-5_S5_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-5_S5_L004_R2_001_fastqc.zip
FastQC	all_sections	136-6_S6_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-6_S6_L004_R1_001_fastqc.zip
FastQC	all_sections	136-6_S6_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-6_S6_L004_R2_001_fastqc.zip
FastQC	all_sections	136-7_S7_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-7_S7_L004_R1_001_fastqc.zip
FastQC	all_sections	136-7_S7_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-7_S7_L004_R2_001_fastqc.zip
FastQC	all_sections	136-8_S8_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-8_S8_L004_R1_001_fastqc.zip
FastQC	all_sections	136-8_S8_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/136-8_S8_L004_R2_001_fastqc.zip
FastQC	all_sections	Undetermined_S0_L004_R1_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/Undetermined_S0_L004_R1_001_fastqc.zip
FastQC	all_sections	Undetermined_S0_L004_R2_001	/home/jovyan/Kate.jl/output/human_cdna_kwat_phd/check_raw/Undetermined_S0_L004_R2_001_fastqc.zip
