	Selected	N	n	.
chr9p11	False	49	3	0.061224489795918366
chr12p13	False	333	175	0.5255255255255256
chr11q25	False	31	12	0.3870967741935484
chr5q13	False	142	53	0.3732394366197183
chr2q31	False	167	67	0.40119760479041916
chr5q23	False	111	38	0.34234234234234234
chr5q35	False	222	107	0.481981981981982
chr6q21	False	117	49	0.4188034188034188
chr9q13	False	50	0	0.0
chr13q31	False	97	8	0.08247422680412371
chr6q16	False	52	22	0.4230769230769231
chr1q31	False	71	28	0.39436619718309857
chr5q21	False	64	15	0.234375
chr15q12	False	15	3	0.2
chr6p24	False	57	29	0.5087719298245614
chr1q42	False	230	88	0.3826086956521739
chrXp11	False	370	147	0.3972972972972973
chr4p11	False	19	6	0.3157894736842105
chr12p11	False	77	35	0.45454545454545453
chr12q22	False	51	15	0.29411764705882354
chr16q13	False	40	23	0.575
chr21q21	False	119	20	0.16806722689075632
chrXp22	False	233	108	0.463519313304721
chr7p21	False	83	33	0.39759036144578314
chr7p22	False	121	66	0.5454545454545454
chr4q26	False	53	15	0.2830188679245283
chr17q12	False	143	90	0.6293706293706294
chr15q15	False	143	83	0.5804195804195804
chr2p11	False	205	41	0.2
chr6q24	False	72	34	0.4722222222222222
chr3p14	False	122	51	0.4180327868852459
chr11q14	False	141	46	0.3262411347517731
chr2q14	False	154	58	0.37662337662337664
chr9p12	False	17	1	0.058823529411764705
chrXq28	False	206	101	0.49029126213592233
chr2q35	False	126	62	0.49206349206349204
chr9q34	False	311	188	0.6045016077170418
chr2q36	False	82	30	0.36585365853658536
chr12q24	False	390	203	0.5205128205128206
chr12p12	False	107	47	0.4392523364485981
chrXq22	False	169	72	0.4260355029585799
chr5p12	False	32	12	0.375
chr8p23	False	218	47	0.21559633027522937
chr3p23	False	10	3	0.3
chr17q21	False	457	237	0.5185995623632386
chr10p12	False	135	42	0.3111111111111111
chr15q14	False	56	26	0.4642857142857143
chr10q26	False	200	89	0.445
chr2p23	False	145	88	0.6068965517241379
chr10q25	False	126	45	0.35714285714285715
chr12q13	False	407	216	0.5307125307125307
chr11p11	False	145	56	0.38620689655172413
chr6q25	False	154	62	0.4025974025974026
chr19p13	False	773	494	0.6390685640362225
