Gene	S1	S2	S3	S4	S5	S6	S7	S8
A1BG	-0.055431463670650945	0.040079936517938876	0.06414592963863049	0.2880831917261502	0.16444428174953693	0.3167720200197169	0.03912657763047689	0.1546266192317243
A2M	-0.547467470333429	-0.4691141469786844	-0.5429395374137501	-0.46298012452844584	-0.27927160389048955	-0.6277553246066079	-0.6407628351460615	-0.5809591300821251
A2MP1	-0.24302248621259534	-0.5060261884635865	-0.3526805551184296	-0.5671451465213959	-0.548834994378349	-0.5311789835549435	-0.5810094103800337	-0.6246330558310448
AAAS	-0.49079060493699417	-0.4763800983140897	-0.340867337476004	-0.3370992096017396	-0.6308779003700814	-0.29030699814874517	-0.572551051307053	-0.5276138247173079
AACS	-0.47283653604170955	-0.4229417855892479	-0.42942557295735134	-0.46366389914542666	-0.5436920479039228	-0.6277553246066079	-0.4608047674053057	-0.4914591887392211
AACSP1	-0.5783480742915974	-0.5902195763166855	-0.5944744410842029	-0.622634255517545	-0.5760606795696975	-0.6277553246066079	-0.5723674510871556	-0.6643825150926425
AADACL3	-0.5609389522071382	-0.5511186466589247	-0.6011735150680625	-0.6196302692270699	-0.5969644385998228	-0.6277553246066079	-0.5606427510373093	-0.6295487780698078
AAGAB	0.7352097675782415	0.20936659569023588	0.7521970847453943	1.4360481077393872	0.7323925625345222	1.1539892702675705	0.4130832238237103	0.775201090995004
AAK1	0.30877450913836585	0.4187310262533084	0.7134364936638953	1.1378199070883637	0.7049345169646776	0.6637001761424697	0.47479506455230913	0.5971241195103811
AAMDC	0.014298595695836488	-0.04342302489073947	0.0865890165465349	-0.06628766088019987	-0.15986981873417708	0.19419411347496776	-0.12303726407059858	0.0650925120752264
AAMP	0.5189652042519712	0.5938800949338683	-0.011186529025625645	0.5935740215713462	0.10651717145181946	0.553989112367167	0.5502854628171001	0.7267887915571263
AANAT	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.34589546271765653	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717769966330556
AAR2	0.8063135524252735	1.0877115670898616	0.8493876747944945	0.8819901222416154	0.8292968099711123	1.0516344348718405	1.2492973734052155	1.4888972213762455
AARD	-0.2139118523197617	0.026125829855672387	-0.0650020031304709	0.2117440317983622	-0.41753642923124495	-0.12524093110083626	-0.3454971608708824	-0.6657763352831475
AARS1	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.44663992457922075	-0.6308779003700814	-0.38378246912815106	-0.6407628351460615	-0.30790437220592837
AARS2	-0.4361858460994173	-0.044357551907648146	-0.451494717147693	-0.3802095596908635	-0.6308779003700814	-0.3596054757549178	-0.24972160391628706	-0.5271693445387385
AARSD1	0.06704407954217774	0.08453591482515033	-0.3095511520985849	-0.16467006149198316	-0.339475821762856	-0.47904301423748485	-0.34561739814929227	-0.2882388960755906
AARSD1P1	0.25774203518910155	0.08196203506051211	0.28797703281362386	0.40189104853458063	0.25047825294651904	-0.034176884705375804	0.21773362304630095	0.10531040964288269
AASDH	-0.197841154177578	-0.29541132320500196	-0.04457313637253256	-0.09605898347073127	-0.268507730159637	-0.27384551633262416	-0.21515435212830836	-0.36524097764267416
AASDHPPT	1.056981472848551	1.7588486610812308	1.639887562621804	0.8290514704319775	1.352389273849285	1.0961955672315777	1.1489070054044201	1.2060773215216352
AASS	-0.4580213022326389	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.5788038625772371	-0.6407628351460615	-0.6717911417961083
AATF	-0.5119072309885019	-0.5969002605138214	-0.4579489640814896	-0.5810088276672926	-0.5066028577924487	-0.5825272184478436	-0.6407628351460615	-0.6717911417961083
ABCA11P	-0.5234893953913198	-0.01085771795221122	-0.4929265247275622	-0.29918818083478543	-0.34359644591443916	0.16427973986483208	-0.25754935186861605	-0.1261394602522083
ABCA17P	-0.5816432621256559	-0.5969002605138214	-0.5863058543172274	-0.6380098846200404	-0.6308779003700814	-0.603710615785981	-0.6407628351460615	-0.6717911417961083
ABCA3	-0.31147924316927683	-0.5969002605138214	-0.5001596176327813	-0.6653908487902997	-0.6308779003700814	-0.4951940567333625	-0.5639093708917109	-0.5294455996511005
ABCA5	-0.19239815076552866	-0.12149272958167054	-0.2263770042152538	0.1067746661394953	-0.06448025858828331	-0.19247938863291167	-0.08345930426557638	-0.14714110570497327
ABCA6	-0.5954371570952625	-0.5728643727017387	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.618027559893882	-0.6308727742870228	-0.6717911417961083
ABCA7	-0.3808252328870506	-0.5110653295089795	-0.6134450475771975	-0.6653908487902997	-0.4639215751546507	-0.6277553246066079	-0.3441559533922763	-0.6717911417961083
ABCA9	-0.580111870865972	-0.5490486684828182	-0.5637845638889722	-0.5536907396593538	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6323848164897089
ABCB10	-0.43296822000295276	-0.4428769731628914	-0.6134450475771975	-0.24620634623953025	-0.09568784835580675	0.015256349164167966	-0.11145289746912215	0.4424992373341457
ABCB10P1	-0.5954371570952625	-0.5969002605138214	-0.5856702377059037	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ABCB10P3	-0.5948437426739897	-0.5969002605138214	-0.5993651642285942	-0.6651415285592492	-0.6308779003700814	-0.6274865031502433	-0.6402778086627112	-0.6717911417961083
ABCB10P4	-0.5954371566270231	-0.5969002605138214	-0.6134264945704092	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ABCB7	-0.42911923129116036	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.46096197994343424	-0.6277553246066079	-0.6407628351460615	-0.24967240482292313
ABCB8	-0.37788299031050093	-0.32042419546244916	-0.32410002035109425	-0.3583573256989919	-0.4599842854556699	-0.48831084336173725	-0.3236613246378394	-0.20712402544916741
ABCB9	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6169938206195786	-0.6176982733597447	-0.6407628351460615	-0.6084716605768907
ABCC1	-0.5954371570952625	-0.40772159467921854	-0.5459190859173657	0.14202520205925537	-0.3229611134509759	-0.5098486444700608	-0.1284936472014825	-0.4450839886981809
ABCC10	-0.2902479620859857	-0.35920746777635576	-0.2646555048692735	-0.44396731850388027	-0.10316643966086478	-0.19911885071869237	-0.0428949057753727	-0.041810011494895764
ABCC2	-0.5954371554926843	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.5693649793127556	-0.599849525084708	-0.6717911413336151
ABCC4	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.4951841250874648	-0.6407628351460615	-0.5652418467761049
ABCC5	-0.5309418908521265	-0.31770429294116076	-0.3847496850857272	-0.41161046694450987	-0.42285548300762965	-0.41414903913707246	-0.5907196613562847	-0.47645056853268425
ABCD1	-0.4704419017853585	-0.5732739909393879	-0.4975698204393944	-0.5171483386866628	-0.5010351946496813	-0.596094844299687	-0.5903353847410787	-0.4898011643398207
ABCD3	-0.3819152893443503	-0.5969002605138214	-0.27655870505689173	-0.09977865710417848	-0.6308779003700814	-0.322995304586086	-0.24477241324498772	0.030701348349087876
ABCD4	-0.06985170048661382	0.06278487611224935	-0.09666233952378156	-0.07749578954893542	0.007779445393102922	0.20998040562151188	0.12132070205455298	0.15022645844401547
ABCE1	-0.5954371570952625	-0.1545390470861009	0.15342290359571417	0.07751662265638028	0.13238417870901034	0.021025607466213056	-0.15081157984889668	0.2675761373397944
