	Selected	N	n	.
BUSSLINGER_ESOPHAGEAL_QUIESCENT_BASAL_CELLS	False	77	45	0.5844155844155844
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	False	70	59	0.8428571428571429
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	True	79	74	0.9367088607594937
BUSSLINGER_ESOPHAGEAL_LATE_SUPRABASAL_CELLS	False	140	77	0.55
BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS	False	214	174	0.8130841121495327
BUSSLINGER_GASTRIC_CHIEF_CELLS	False	56	33	0.5892857142857143
BUSSLINGER_GASTRIC_PREZYMOGENIC_CELLS	False	60	30	0.5
BUSSLINGER_GASTRIC_NECK_CELLS	False	36	17	0.4722222222222222
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	False	121	98	0.8099173553719008
BUSSLINGER_GASTRIC_ISTHMUS_CELLS	False	458	350	0.7641921397379913
BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	False	100	69	0.69
BUSSLINGER_GASTRIC_IMMATURE_PIT_CELLS	False	165	110	0.6666666666666666
BUSSLINGER_GASTRIC_MATURE_PIT_CELLS	False	224	148	0.6607142857142857
BUSSLINGER_GASTRIC_PARIETAL_CELLS	False	254	192	0.7559055118110236
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	False	111	88	0.7927927927927928
BUSSLINGER_GASTRIC_REG3A_POSITIVE_CELLS	False	44	25	0.5681818181818182
BUSSLINGER_GASTRIC_D_CELLS	False	28	8	0.2857142857142857
BUSSLINGER_GASTRIC_G_CELLS	False	98	42	0.42857142857142855
BUSSLINGER_GASTRIC_X_CELLS	False	191	105	0.5497382198952879
BUSSLINGER_GASTRIC_TUFT_CELLS	False	12	7	0.5833333333333334
BUSSLINGER_GASTRIC_OXYNTIC_ENTEROCHROMAFFIN_LIKE_CELLS	False	85	37	0.43529411764705883
BUSSLINGER_GASTRIC_ANTRAL_ECS	False	12	4	0.3333333333333333
BUSSLINGER_GASTRIC_IMMUNE_CELLS	True	1490	1400	0.9395973154362416
BUSSLINGER_DUODENAL_STEM_CELLS	False	311	245	0.7877813504823151
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	False	305	259	0.8491803278688524
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	False	194	170	0.8762886597938144
BUSSLINGER_DUODENAL_EARLY_IMMATURE_ENTEROCYTES	False	113	82	0.7256637168141593
BUSSLINGER_DUODENAL_LATE_IMMATURE_ENTEROCYTES	False	177	109	0.615819209039548
BUSSLINGER_DUODENAL_MATURE_ENTEROCYTES	False	259	150	0.5791505791505791
BUSSLINGER_DUODENAL_PANETH_CELLS	False	15	2	0.13333333333333333
BUSSLINGER_DUODENAL_GOBLET_CELLS	False	16	6	0.375
BUSSLINGER_DUODENAL_BCHE_CELLS	False	43	28	0.6511627906976745
BUSSLINGER_DUODENAL_TUFT_CELLS	False	81	48	0.5925925925925926
BUSSLINGER_DUODENAL_I_CELLS	False	16	7	0.4375
BUSSLINGER_DUODENAL_K_CELLS	False	20	10	0.5
BUSSLINGER_DUODENAL_MX_CELLS	False	13	5	0.38461538461538464
BUSSLINGER_DUODENAL_EC_CELLS	False	31	10	0.3225806451612903
BUSSLINGER_DUODENAL_IMMUNE_CELLS	True	909	856	0.9416941694169417
FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	False	499	291	0.5831663326653307
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL	False	365	228	0.6246575342465753
FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON	False	47	17	0.3617021276595745
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	False	133	75	0.5639097744360902
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	True	148	141	0.9527027027027027
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	False	371	266	0.7169811320754716
FAN_EMBRYONIC_CTX_BIG_GROUPS_INHIBITORY	False	12	2	0.16666666666666666
FAN_EMBRYONIC_CTX_EX_1_EXCITATORY_NEURON	False	7	4	0.5714285714285714
FAN_EMBRYONIC_CTX_EX_2_EXCITATORY_NEURON	False	16	8	0.5
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	False	166	76	0.4578313253012048
FAN_EMBRYONIC_CTX_IN_1_INTERNEURON	False	11	4	0.36363636363636365
FAN_EMBRYONIC_CTX_IN_2_INTERNEURON	False	7	2	0.2857142857142857
FAN_EMBRYONIC_CTX_IN_3_INTERNEURON	False	6	3	0.5
FAN_EMBRYONIC_CTX_IN_4_INTERNEURON	False	10	3	0.3
FAN_EMBRYONIC_CTX_IN_5_INTERNEURON	False	6	0	0.0
FAN_EMBRYONIC_CTX_IN_6_INTERNEURON	False	6	2	0.3333333333333333
FAN_EMBRYONIC_CTX_ASTROCYTE_1	False	79	35	0.4430379746835443
FAN_EMBRYONIC_CTX_ASTROCYTE_2	False	153	66	0.43137254901960786
FAN_EMBRYONIC_CTX_NSC_1	False	18	10	0.5555555555555556
FAN_EMBRYONIC_CTX_NSC_2	False	233	199	0.8540772532188842
FAN_EMBRYONIC_CTX_OLIG	False	754	519	0.6883289124668435
FAN_EMBRYONIC_CTX_OPC	False	55	19	0.34545454545454546
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_1	False	440	269	0.6113636363636363
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2	False	303	154	0.5082508250825083
FAN_EMBRYONIC_CTX_MICROGLIA_1	False	155	126	0.8129032258064516
FAN_EMBRYONIC_CTX_MICROGLIA_2	False	9	7	0.7777777777777778
FAN_EMBRYONIC_CTX_MICROGLIA_3	False	20	9	0.45
FAN_EMBRYONIC_CTX_BRAIN_MYELOID	False	139	108	0.7769784172661871
FAN_EMBRYONIC_CTX_BRAIN_B_CELL	False	100	79	0.79
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL	False	131	117	0.8931297709923665
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	True	158	149	0.9430379746835443
MANNO_MIDBRAIN_NEUROTYPES_BASAL	True	79	73	0.9240506329113924
MANNO_MIDBRAIN_NEUROTYPES_HENDO	False	888	595	0.670045045045045
MANNO_MIDBRAIN_NEUROTYPES_HPERIC	False	795	472	0.5937106918238994
MANNO_MIDBRAIN_NEUROTYPES_HMGL	False	577	422	0.7313691507798961
MANNO_MIDBRAIN_NEUROTYPES_HOPC	False	366	175	0.4781420765027322
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	False	326	161	0.4938650306748466
MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	False	440	210	0.4772727272727273
