	Score	MoE	P-Value	Q-Value
BLOC1S5-TXNDC5	0.8227114976750471	0.006397157831740585	7.270612185546023e-06	0.15
LRRC37A	0.8184841104379741	0.0069537360447072165	4.556250302942174e-05	0.47
ASAH1	0.816742039403538	0.007066697927695441	0.00012117686975910039	0.8333333333333334
HLA-A	0.8159512062810438	0.00712232070447484	0.00020600067859047065	0.9793548387096774
TRAV23DV6	0.8155478096504547	0.006965572737331976	0.00025592554893122003	0.9793548387096774
FLRT3	0.8146875851680127	0.005876073825198061	0.00037177063642092	0.9793548387096774
TRBV21-1	0.8144428912260284	0.006617743357522371	0.00040666957491154086	0.9793548387096774
LRRC6	0.8133706792954276	0.0071558020468637405	0.0006073384712326111	0.9793548387096774
PPP1R11	0.8131728170373301	0.007356402915478355	0.0006427221172022685	0.9793548387096774
CDH15	0.8129526630920961	0.006054885960097241	0.0006848916678784354	0.9793548387096774
CTAGE6	0.8124159971803442	0.006043509806053566	0.0007997673404100625	0.9793548387096774
MIS18A	0.8123012607237464	0.006075770826976192	0.0008404827686491203	0.9793548387096774
TNFSF4	0.8117918368946703	0.006086286927290084	0.0009737773253841307	0.9793548387096774
FAM220A	0.81167648832009	0.006103648168018255	0.0010125539237070427	0.9793548387096774
DUX4L35	0.811638851225126	0.006199446352965691	0.0010246716106829528	0.9793548387096774
VN1R84P	0.8116345868300222	0.006124899035239088	0.0010256410256410256	0.9793548387096774
RPL21P136	0.8116086875204345	0.006084797081065313	0.0010329116378265716	0.9793548387096774
GPAT2P1	0.8115868565689804	0.006055449973250363	0.0010348504677427173	0.9793548387096774
WNT10B	0.811579060551121	0.006163633535785484	0.0010377587126169357	0.9793548387096774
SNRPBP1	0.8115028604244537	0.006110281793339908	0.0010663564538800833	0.9793548387096774
PLXNA2	0.8111157122579287	0.0061270076410344845	0.0011579661674179632	0.9793548387096774
UPK1B	0.8110432664695366	0.006184176645596317	0.0011778391740584558	0.9793548387096774
OVCH1	0.8109730217053669	0.00613934532968701	0.0011904415685134021	0.9793548387096774
DUT	0.8108910401609308	0.007460844415085354	0.0012335805341476419	0.9793548387096774
RPAP2P1	0.8108519695813796	0.006176740846657856	0.0012408511463331878	0.9793548387096774
DRD3	0.8107399200231884	0.0061701797679574125	0.0012762347923028453	0.9793548387096774
OR7E84P	0.8107106203788673	0.006137493250348406	0.0012839901119674276	0.9793548387096774
TP53TG3D	0.8101915971170257	0.00625386240332184	0.0013983810770200184	0.9793548387096774
SERBP1P5	0.8101534130817877	0.006150593624188244	0.001402743444331346	0.9793548387096774
APIP	0.8100997007688345	0.007264437054955289	0.0014279482332412389	0.9793548387096774
FAM210B	0.8099472655270337	0.007317338482937731	0.001471571906354515	0.9793548387096774
EEFSEC	0.8093999616731773	0.007156858541836981	0.0016068052930056712	0.9996086134148116
RPSAP56	0.809031172803594	0.006348421490719105	0.0016955067616693325	0.9996086134148116
PPEF1	0.8087314519694108	0.006269514538991027	0.0017512481217585188	0.9996086134148116
TRAJ37	0.808445658782959	0.007450545578703141	0.0018234695361349425	0.9996086134148116
TRBV7-3	0.8084319290353277	0.006816306708821206	0.001826377781009161	0.9996086134148116
ATP5F1AP3	0.8081115964562255	0.0063555628717620145	0.0018913285832000387	0.9996086134148116
MAFK	0.8076249980291521	0.0063077818501946145	0.001980999466821773	0.9996086134148116
