	Score	MoE	P-Value	Q-Value
EDAR	34.884865811196946	0.06043238040675788	2.859774126314769e-05	0.38999999999999996
GPR157	34.68741940710177	0.06881604134418234	3.7807183364839316e-05	0.38999999999999996
SMARCA1	34.12376892053749	0.08841836319408025	7.173670689738743e-05	0.4933333333333334
ME3	33.39249987962483	0.18004404398629134	0.00013426397169308323	0.6005882352941176
CEMP1	33.2320311471957	0.3693856565477866	0.00016237700547719452	0.6005882352941176
GPRC5B	32.9886454560632	0.06175959557448476	0.00020163831127914303	0.6005882352941176
GRIA3	32.978407723119794	0.22161451761316803	0.00020697009354854346	0.6005882352941176
GPC3	32.63275921358991	0.0719374137942486	0.00028694682758954973	0.6005882352941176
RPL12P18	32.48539536586295	0.1425752951963243	0.0003189375212059522	0.6005882352941176
PIMREGP1	32.35221704444891	0.10001396975983767	0.0003455964325529543	0.6005882352941176
STX1B	32.3465933866928	0.08739595124920677	0.0003485046774271727	0.6005882352941176
MTCO1P21	32.314921182019354	0.0488002422358076	0.00036207648684019193	0.6005882352941176
CFAP61	32.22626844903875	0.052224273115874194	0.0004178178469293781	0.6005882352941176
WNT5B	32.13601841420627	0.1113288876151686	0.0004721050845814551	0.6005882352941176
PFN1P11	32.10203713109387	0.12380138300450394	0.0004866463089525471	0.6005882352941176
CACHD1	32.095925511935754	0.2445438892854085	0.0004895545538267656	0.6005882352941176
CYP2J2	32.09199892432885	0.07954185250878436	0.0004948863360961659	0.6005882352941176
MTATP6P27	31.90980968552826	0.12862760963949887	0.0005787407299694635	0.625
CFAP97D2	31.870668013691777	0.062482263127634816	0.0005961901992147739	0.625
RPL12P4	31.846648460693494	0.0714609620887547	0.0006058843487955019	0.625
KCNC2	31.771992008301577	0.15679351225559027	0.0006790751781299985	0.6530232558139536
ABHD11-AS1	31.655123978654334	0.10120026488192303	0.000745964810237022	0.6530232558139536
GNB3	31.615027860925586	0.1365365561745549	0.0007828025786437885	0.6530232558139536
DNAJC19P7	31.588848049390098	0.058925250284333944	0.0007983132179729533	0.6530232558139536
ANOS2P	31.336064310279742	0.12602202289860281	0.000950026658911347	0.6530232558139536
DPPA3P2	31.25596567739674	0.19421844657281456	0.0010062527264795697	0.6530232558139536
IGSF11	31.234366972030042	0.07992569667840407	0.001016431583539334	0.6530232558139536
PSG2	31.21742258771513	0.12348005691425859	0.001028549270515244	0.6530232558139536
BMPR1AP2	31.193614126345686	0.15944501898962452	0.0010426057874072998	0.6530232558139536
ADH1A	31.092885666786884	0.25309466769014327	0.001098347147496486	0.6530232558139536
DUOXA1	31.07691419294374	0.08738390497451606	0.0011051330522029955	0.6530232558139536
RPL6P6	31.070732776578353	0.1943139369525288	0.0011119189569095051	0.6530232558139536
CPSF1P1	31.055136002133167	0.15307205876687857	0.0011240366438854152	0.6530232558139536
SLC6A13	31.013844791500482	0.056078860224069486	0.0011487567253162716	0.6530232558139536
SNX31	30.933314210152094	0.05409882035932213	0.0012151616499442585	0.6530232558139536
RHBDF1	30.834928335083653	0.1103589407409757	0.0012587853230575348	0.6530232558139536
RPSAP63	30.78165742132114	0.04235464286067526	0.0012936842615481558	0.6530232558139536
RPS3AP29	30.755899395920377	0.0991008903720505	0.0013087101933982842	0.6530232558139536
RPL29P2	30.751219224671253	0.01840084719423422	0.0013106490233144297	0.6530232558139536
OTUB2	30.708306486198246	0.19732600880097473	0.001342155009451796	0.6530232558139536
CDC42BPA	30.70279997279982	0.2971371896319301	0.0013523338665115603	0.6530232558139536
CCNB3	30.684233706135466	0.1057389884262776	0.0013566962338228878	0.6530232558139536
CDC27P1	30.679808197415234	0.10435952193008836	0.0013610586011342156	0.6530232558139536
GPER1	30.446544708709258	0.16722563493256698	0.0015229508991323737	0.6959574468085107
SOX15	30.39660906402033	0.19109051175859212	0.0015539721777907032	0.6959574468085107
FTLP5	30.345150478840782	0.01048497904704306	0.0015699675245989045	0.6959574468085107
SOX8	30.310114364490325	0.09926198698569937	0.0015854781639280694	0.6959574468085107
GJA1	30.085627724335584	0.15612428163769676	0.001691144394358005	0.7268749999999999
INHBE	29.880213445295922	0.11562775390284363	0.001811836556638069	0.7338028169014085
GP1BA	29.829456062920404	0.0904993382822936	0.0018394648829431438	0.7338028169014085
CDH20	29.78226281793892	0.2551655755879376	0.0018695167466434006	0.7338028169014085
ANKRD20A17P	29.747148905289933	0.1032536943467238	0.0018801803111822015	0.7338028169014085
GRM2	29.45250663687843	0.11156862756889804	0.002007658378168775	0.7338028169014085
TERT	29.39847041763266	0.17132415215471136	0.0020372255343899955	0.7338028169014085
ZNF454	29.364595174270516	0.04999849516364955	0.0020503126363239786	0.7338028169014085
OR52K3P	29.36001407692326	0.08898297583720617	0.002054675003635306	0.7338028169014085
GDF5	29.24534133664285	0.017572807669922808	0.0021045998739760556	0.7338028169014085
FAM95C	28.838069097482947	0.1620399318967371	0.002180214240705734	0.7338028169014085
GRIA4	28.821053012154948	0.22771454353683387	0.002189908390286462	0.7338028169014085
CDCP1	28.625745528964902	0.49799358639540386	0.0022267461586932286	0.7338028169014085
PLEKHA6	28.447310239121464	0.29356270411651664	0.0022577674373515585	0.7338028169014085
