	Score	MoE	P-Value	Q-Value
FAN_EMBRYONIC_CTX_IN_3_INTERNEURON	0.8128338289819146	0.0072819003985687145	0.0009597382532036717	0.9385185185185184
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA	0.5741090338428373	0.0263280642073477	0.04486503680814324	0.9816169339798583
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	0.5067775853982535	0.09582535385669103	0.08814596019267472	0.9651625625240478
MANNO_MIDBRAIN_NEUROTYPES_BASAL	0.4906890843005047	0.02658440364087498	0.09719621921294193	0.9620891041162227
HAY_BONE_MARROW_CD8_T_CELL	0.4874053793496163	0.07749672748075118	0.09893210942470236	0.9610769678169833
GAO_LARGE_INTESTINE_24W_C6_SECRETORY_PROGENITOR	0.480427949678679	0.019931517205867468	0.10308097791511406	0.9593419517884916
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	0.44000500724542585	0.04942724151606865	0.1311024266109243	0.947898076541741
TRAVAGLINI_LUNG_PROLIFERATING_BASAL_CELL	0.42999671067581874	0.03445868345329825	0.13859765518494957	0.9443090564909834
BUSSLINGER_GASTRIC_TUFT_CELLS	0.39092856158869327	0.02415068566683693	0.16926929019358355	0.9296796175752644
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_1_CELL	0.36168742773882157	0.04329559220805658	0.19429428337726073	0.9156372650278869
DESCARTES_FETAL_MUSCLE_ERYTHROBLASTS	0.35864259835978984	0.040281517741367776	0.19736980823411795	0.9137290589451913
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.3443221032040153	0.09639552558158497	0.2116031991275107	0.9065471836137527
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	0.3306538934324519	0.05023396092306499	0.2270108152322094	0.9000380710659899
FAN_EMBRYONIC_CTX_NSC_2	0.32018577426963146	0.05391360922831371	0.23974552394801418	0.8939938014320831
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.30699347331133575	0.050356848817280454	0.2560483504498773	0.8840421166306696
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.291493972812912	0.05460501113759496	0.2756257384349723	0.8744168952276468
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	0.2756102443636248	0.05353870184518465	0.2968263200945197	0.8630340211935303
GAO_LARGE_INTESTINE_24W_C8_GOBLET_CELL	0.2546889456918642	0.03734522498178634	0.3249868217758793	0.8497094153986957
FAN_EMBRYONIC_CTX_MICROGLIA_1	0.25398553551999153	0.05445278236900739	0.32591565936562755	0.8491997710360618
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS	0.24855433734644916	0.054801032511626054	0.333217304371535	0.8465729430744411
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.24391154101461954	0.07883491410592043	0.33921475961101516	0.8433963577311218
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	0.2264325284992626	0.04841867802038244	0.36335635735708444	0.8287991008045433
LAKE_ADULT_KIDNEY_C20_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_CORTEX	0.20889727695918195	0.06915506527229506	0.3934790511678633	0.809309968469561
TRAVAGLINI_LUNG_CD8_MEMORY_EFFECTOR_T_CELL	0.1928543547546969	0.06681247826553789	0.4161801326910842	0.7953188064875572
LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE	0.184017676914303	0.080496277160563	0.42569299282013995	0.7900875218804702
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	0.17988211407655252	0.054637099673714586	0.42966100154503317	0.7875429790437947
ZHONG_PFC_C1_OPC	0.179529449229005	0.07335837267240518	0.4299663728074162	0.7874039668591515
