	Score	MoE	P-Value	Q-Value
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.845701987433268	0.0029421721172000646	0.006597291647732436	0.4624352331606218
HALLMARK_MITOTIC_SPINDLE	0.750721813182937	0.017061271233784935	0.020747068981186948	0.5416313559322035
HALLMARK_DNA_REPAIR	0.6604404519375767	0.029933591299187216	0.04965645732981914	0.6042261251372119
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5892248870909694	0.10622115016327827	0.08699082068526766	0.6861362007168459
HALLMARK_MTORC1_SIGNALING	0.5014780864635946	0.030691560306741708	0.12488412251204217	0.7324626865671643
HALLMARK_MYC_TARGETS_V2	0.46921558592552043	0.04834195769176151	0.14041170589839136	0.7589636542239686
HALLMARK_ANDROGEN_RESPONSE	0.45381661124412576	0.08081789882766785	0.14862855584840498	0.7715747289014615
HALLMARK_PROTEIN_SECRETION	0.4295162307827661	0.09314598815696751	0.16390620739798237	0.7908972125435539
HALLMARK_ADIPOGENESIS	0.3245156109502831	0.07661139621760076	0.2744278833045533	0.8634629682585073
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.20681367573813914	0.0885942907816153	0.38788966645460327	0.91568954593453
HALLMARK_APOPTOSIS	-0.18427446828679206	0.10257479884838817	0.41559211124238843	0.9896283783783785
HALLMARK_MYC_TARGETS_V1	-0.26626548333971106	0.09369973397216007	0.34008906661819505	0.9667423851316469
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.30119780610598806	0.0861241515971833	0.3052403889848223	0.9435223126578727
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.37570136853936953	0.10835369789175305	0.23259474688721257	0.8964063047285464
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.47846201796408067	0.10182480463742814	0.14033990729800963	0.8069958202716823
HALLMARK_G2M_CHECKPOINT	-0.6279582702731383	0.04160739809404027	0.07093701717713351	0.7113739763421292
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.6434455830519125	0.047890772315393855	0.06237571571389621	0.6856343656343656
HALLMARK_E2F_TARGETS	-0.7713278542072686	0.01653450846549346	0.018160501681359627	0.5069124423963134
