	Score	MoE	P-Value	Q-Value
PDHA1	0.6467256365396956	0.0224283737945216	0.0235136445155348	0.993437669443486
SLC25A1	0.5419953814907348	0.0225927354886727	0.0736925015752993	0.9765787725484184
AGRN	0.3943497979784639	0.0608174641589999	0.1622185061315496	0.9435171133795512
CHRNE	0.3871826859866089	0.0680919488367255	0.1660200668896321	0.942343185550082
VAMP1	0.1542341289445537	0.0617239856996381	0.43841549125103	0.8454501021301429
CHAT	0.0110450213774601	0.05975791302407	0.4948165382191847	0.8187062333176323
SNAP25	-0.0100497603314642	0.0561186889585289	0.4928253598953032	0.8139886336348355
MYO9A	-0.2146000311789463	0.0535495220361242	0.3845921186563908	0.7790025525230709
HP_APNEIC_EPISODES_PRECIPITATED_BY_ILLNESS_FATIGUE_STRESS	-0.2790674281899136	0.0783357098322757	0.2815877487957829	0.624905622888933
SYT2	-0.4266077778398728	0.0192547327258244	0.139521109010712	0.6706161357823761
