	Score	MoE	P-Value	Q-Value
POLG2	0.8657818682696902	0.0003092016340909	0.0010595705491735	0.0344794952681388
SLC40A1	0.8655587968219018	0.0005582648601131	0.0018535213998351	0.0582926829268292
MLX	0.8653310368828538	0.0007003716982313	0.0022897581309679	0.0700890207715133
SMAD4	0.8631528078842995	0.000936802838351	0.0034011923803984	0.0910116731517509
FAN1	0.8625151156852495	0.0006479822763863	0.0035785953177257	0.093574144486692
FOXP1	0.8601020437487038	0.0014265720362248	0.0042455528088798	0.1030552291421856
CARMIL2	0.85589980901012	0.0014022781885003	0.0050860355775289	0.114890590809628
POLG	0.8489470724411022	0.0022209293024328	0.0062633900441083	0.1278487229862475
TGFBR2	0.8480111892614216	0.0031710139249955	0.0064257670495855	0.1289591439688716
C1QBP	0.8421826752532343	0.003432242132255	0.0073059958315156	0.1384967919340055
STAT3	0.8417876148237811	0.0040309309448494	0.0073796713683292	0.1389872262773722
C9orf72	0.8408001519773368	0.0069409012035454	0.0075149047549803	0.1396756756756756
MORC2	0.840350118149189	0.0039546862199264	0.0076050603460811	0.1406272401433692
DNM1L	0.8401058291499148	0.007676334851786	0.0076331733798652	0.1408586762075134
EIF2AK4	0.8243874106458495	0.0058879382644027	0.0096078716494595	0.1568537549407114
ATM	0.8179041662230085	0.0118851364161519	0.0103552905821336	0.1624638783269962
MST1	0.8092128270021607	0.0108017259738306	0.0113954728321458	0.1697566213314245
PADI4	0.7810724632661352	0.0143402931864075	0.0146022975134506	0.1877363184079602
TAZ	0.7710114522388042	0.0184074013792499	0.015766564878096	0.1959265944645006
UBAC2	0.7508819087686636	0.0243223074501728	0.0180495371043575	0.2079173646007817
BIRC3	0.7475716664096616	0.0208348072877376	0.0184358489651495	0.2099834437086092
IKZF1	0.7365331993198618	0.0218416414277351	0.0198424700693131	0.2172876857749469
MMADHC	0.7291920863330984	0.0282347373537956	0.0208753817071397	0.22248322147651
HFE	0.7170975516286705	0.0188617615354028	0.0225015752993068	0.2291863905325444
COL5A2	0.7144606111640782	0.0293645657340786	0.0228796471329552	0.2307086999022482
MLH1	0.7139617030853721	0.0254058464949482	0.0229605932819543	0.2310731707317073
MALT1	0.711747243178924	0.0250693951451757	0.0233018273471959	0.2335957240038872
NFKBIL1	0.7062583463046906	0.0259538033261354	0.0241379477485337	0.2380449330783939
IRF2BP2	0.7017483932953973	0.029579097480469	0.0247191120158984	0.2397981220657277
SLC3A1	0.6945088351047497	0.0187211398979117	0.0258770781833163	0.2445579477782867
MLH3	0.6929649414211465	0.0239026421310881	0.0260835635693858	0.2453853169174646
INSR	0.6925755103304985	0.0207652058343358	0.0261616014735107	0.2455611085870059
SLC25A4	0.6897512266432896	0.0265350246633843	0.0266031699869128	0.2471184151283205
TAF15	0.6841212233801225	0.0210457919259652	0.0281401774029373	0.2559762009695901
NPM1	0.6826321739667347	0.102737044611176	0.0288497891522466	0.2592334494773519
ALB	0.6772338146332779	0.0378611214042353	0.0344258639910813	0.2913207547169811
GCK	0.6759090725658886	0.0378774232717627	0.035979351461393	0.2989251207729468
PRPH	0.675662624991258	0.0378804232072973	0.0362120110513305	0.2997953451043338
GLT8D1	0.6740967220216577	0.0213494700065047	0.0379860404246037	0.3082966168371361
SLC26A4	0.6732097022363495	0.0237167201779656	0.0409151277204207	0.3254124903623747
CCND1	0.6711914444833346	0.0992830136215458	0.0440982017352527	0.3413846153846153
TLR3	0.667670220257304	0.0327203052152973	0.0461087683582957	0.3497316176470588
SVIL	0.6604306789740296	0.0707313129796098	0.0504032766225582	0.3646107994389901
PNPLA8	0.6531733280658262	0.0253603966777358	0.0548082981920411	0.3774324774924975
ARMC5	0.6530917129683715	0.0320768743263483	0.0548553148175076	0.3774324774924975
BTK	0.6477283372568853	0.0334872797447634	0.0572051766758761	0.3836931079323796
RRM2B	0.6475470117491654	0.03523971263915	0.0572764286752944	0.3838007140538785
IL18BP	0.6452322531027882	0.0335725185364394	0.0580311182201541	0.3850851816136291
BCL2	0.643162871065064	0.0375687811241787	0.0587004992487034	0.3859432759719566
FUS	0.6407386730286411	0.0234190871874111	0.0595724880034898	0.3886907020872865
HNRNPA1	0.6351223826585278	0.0493523886028306	0.0615879017013232	0.3947623485554519
STAT6	0.6348301405970759	0.1001633429495677	0.061704716203771	0.3948604218362283
GLE1	0.6211945161884915	0.0668248460802937	0.0664243129271484	0.4073380867498514
PIGA	0.6200963088488765	0.027861713717816	0.0668082012505452	0.4077902511078287
MDM4	0.6192350719944189	0.0750935822446561	0.0671053269351946	0.4083495431771294
TARDBP	0.6182394774690156	0.0331245028363148	0.0674916387959866	0.409523949456362
GPR35	0.6180546510566414	0.0613990782403353	0.0675759778973389	0.4095477239353891
HMGCL	0.6140002250161757	0.0653985916649382	0.0689317047162037	0.4132897413542575
PIK3CA	0.6079837913449099	0.0737471184755389	0.0710057680190005	0.4174750641208321
COL1A1	0.6075143950464453	0.0262492224979897	0.0711812321264117	0.4182682996297351
EPOR	0.605208373662464	0.0322066283247548	0.0720154136978333	0.4201781674208145
SRSF2	0.6018867864736822	0.0698730453728351	0.0730919490087732	0.4236095505617977
JAK2	0.5960229744975335	0.0896690749270101	0.0750448354418108	0.4281664823008849
CFAP410	0.5874217920418525	0.0332214516906663	0.0775759778973389	0.4346740901683867
ATP7A	0.579029519625099	0.0263750015629733	0.0803649847317144	0.4397030752916224
RARA	0.5780975446071134	0.0301128965310038	0.0806829528379622	0.4405656886069257
GLA	0.5586473248494241	0.0790797195407139	0.087045223207794	0.4553029150823827
SDHD	0.5438793116733658	0.086756353533644	0.0920692162280064	0.4673917322834646
MMEL1	0.5380703527389004	0.0605096371007192	0.0939314623624642	0.4716232660014602
STAR	0.5378056375331612	0.0511069136594625	0.0940516698172652	0.471767566253343
NUMA1	0.5374834708565531	0.0580271171599	0.0941524889729048	0.4719601651688123
DLST	0.5363622707457959	0.0699147438443492	0.0945431632010082	0.4727387300048473
PHKA2	0.5290812255006179	0.0875456628017033	0.0969128980660171	0.4784757118927973
NFKB2	0.5267666360241994	0.0506436810398176	0.0977112112839901	0.4795531257428095
PREPL	0.5151672645020573	0.0500954067691966	0.1014104987639959	0.4875879748310417
HESX1	0.5063556058109978	0.0601450026698688	0.104380786195531	0.4931115683584819
NAGS	0.4980813437720879	0.0619516888254565	0.1074669187145557	0.4995407474110761
DNMT3A	0.4956886349037187	0.0750011513295055	0.1082928602588337	0.501350684316805
MSH2	0.4949593494759745	0.0498905740717824	0.1085415151955794	0.5015055928411634
PRKACA	0.4768235023615316	0.0774663862718274	0.1151737676312345	0.5132023321096956
TG	0.4729484765015428	0.0541688924929308	0.1166177112112839	0.5164069542820348
XPC	0.4666891548558884	0.0690906923667453	0.1188391255877078	0.521856656741812
TP53	0.450106632115235	0.1093126862752516	0.1252556831951917	0.53393638992152
PON3	0.4373512618277157	0.0637624911473485	0.1305346323493771	0.5417739340305713
BLNK	0.4371110339214069	0.0473541009328261	0.1490872958169744	0.5739540959134168
LHX4	0.4371110339214069	0.0473541009328262	0.1490872958169744	0.5739540959134168
IGLL1	0.4371110339214065	0.0473541009328261	0.1671159904997334	0.5979483177245924
CHRND	0.4371110339214065	0.0427580434382763	0.1671159904997334	0.5979483177245924
IL23R	0.4371110339214004	0.0524691978246634	0.175366681207891	0.6124919586930759
IVNS1ABP	0.4357872883299183	0.0826111755575497	0.1765643933885899	0.6150092858348809
UBA1	0.435440719853541	0.0902512522796808	0.1767670011148272	0.6156110735989198
SH2B3	0.4339229868150052	0.0851339442323537	0.1776559546313799	0.6162962340282447
COMP	0.4261873426695478	0.0299452009221883	0.1902462313993504	0.6328266109593444
KLRC4	0.4226387468252111	0.0605733978059834	0.1992268915709369	0.64102760018712
CD244	0.4225218792122718	0.0515406519544104	0.1994828171198681	0.6412786170378446
COL9A1	0.4208072662774283	0.047040230963964	0.2034205806795599	0.6449915475641617
CCDC78	0.4200884979072468	0.0964676059130417	0.2048906984634773	0.6474372320881813
SCNN1A	0.4123518721202963	0.0703546149467992	0.2159187630265135	0.6585777646363098
PDGFRA	0.4060922663170887	0.0963455418734906	0.2209432407542048	0.6637949614096403
CDH23	0.4048353528604176	0.0766378993270084	0.2218200765837817	0.6645554749818708
