Set	Score
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	-0.07399606256005319
BUSSLINGER_GASTRIC_IMMUNE_CELLS	-0.15143143785390026
BUSSLINGER_DUODENAL_IMMUNE_CELLS	-0.15989000511226398
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	-0.1952193455212095
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	-0.14438892400542486
MANNO_MIDBRAIN_NEUROTYPES_BASAL	-0.14738831440917155
AIZARANI_LIVER_C1_NK_NKT_CELLS_1	-0.2008156271140819
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	-0.1747775074239527
AIZARANI_LIVER_C28_NK_NKT_CELLS_6	-0.1392829940431574
HAY_BONE_MARROW_CD8_T_CELL	-0.08341092530584618
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	-0.07443705127700202
LAKE_ADULT_KIDNEY_C30_IMMUNE_CELLS_MACROPHAGES	-0.1987883278211715
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	-0.04704717809454201
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS	-0.14634364212096193
CUI_DEVELOPING_HEART_C9_B_T_CELL	-0.21234142594290223
TRAVAGLINI_LUNG_CD8_MEMORY_EFFECTOR_T_CELL	-0.09403478115799234
TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL	-0.16606852507074174
TRAVAGLINI_LUNG_CD4_MEMORY_EFFECTOR_T_CELL	-0.1259040038695986
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	-0.16419909498313714
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	-0.1367861826490825
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	-0.007301005404231626
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	-0.08840849899532616
FAN_OVARY_CL18_B_LYMPHOCYTE	-0.11869908831771038
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	-0.13722690511302893
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	-0.13663595955550406
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	0.04461433409485962
KORKOLA_YOLK_SAC_TUMOR_UP	-0.1573854699608052
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	-0.1319007703474835
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	0.029845213732055363
KOBAYASHI_EGFR_SIGNALING_6HR_UP	-0.29855236910986205
CHANDRAN_METASTASIS_TOP50_UP	-0.08279784017833429
GRABARCZYK_BCL11B_TARGETS_UP	-0.10066752983193314
CHOI_ATL_CHRONIC_VS_ACUTE_DN	-0.06855978143040109
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	-0.05106384331439345
SCIBETTA_KDM5B_TARGETS_UP	-0.14900947431287354
MAYBURD_RESPONSE_TO_L663536_DN	-0.06554482198980559
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	-0.0777822161195436
CHOW_RASSF1_TARGETS_UP	-0.21399856658942265
CHOW_RASSF1_TARGETS_DN	-0.06267034731008538
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	-0.16060109057430408
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	-0.022205039387357194
LANG_MYB_FAMILY_TARGETS	-0.13364533278991234
SHIRAISHI_PLZF_TARGETS_UP	0.18306217574437167
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP	0.13976915460154216
CHOI_ATL_STAGE_PREDICTOR	-0.03843773057973862
NAGY_TFTC_COMPONENTS_HUMAN	0.023898610401411603
NAGY_STAGA_COMPONENTS_HUMAN	0.036417797610765884
NAGY_PCAF_COMPONENTS_HUMAN	-0.024710441593692074
SEIDEN_MET_SIGNALING	-0.2197089918370643
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_15	-0.12363989023895859
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_23	0.05795013592315
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_2	-0.32516936411728986
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_6	-0.12495375822021153
GRASEMANN_RETINOBLASTOMA_WITH_6P_AMPLIFICATION	-0.2042055548231915
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	-0.08026501630332936
LUND_SILENCED_BY_METHYLATION	-0.12949325912027645
XU_HGF_TARGETS_REPRESSED_BY_AKT1_UP	-0.27324667233616945
FUNG_IL2_SIGNALING_1	-0.27879079243920873
FUNG_IL2_TARGETS_WITH_STAT5_BINDING_SITES	-0.3239758589600643
LI_WILMS_TUMOR_ANAPLASTIC_DN	0.13948991917902953
INAMURA_LUNG_CANCER_SCC_SUBTYPES_UP	-0.06458062692591147
CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP	-0.2811998729815096
SCHMAHL_PDGF_SIGNALING	-0.11819121293166993
LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN	-0.13503681120162395
ALCALA_APOPTOSIS	-0.16359923098585277
OZEN_MIR125B1_TARGETS	-0.27438090896443074
KAUFFMANN_MELANOMA_RELAPSE_DN	-0.10754258938391911
RAHMAN_TP53_TARGETS_PHOSPHORYLATED	-0.1628033396708363
CAFFAREL_RESPONSE_TO_THC_8HR_5_DN	0.04280800638791611
CAFFAREL_RESPONSE_TO_THC_8HR_3_DN	0.05803010378154044
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	-0.0489106651669012
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_DN	-0.18986858288841055
PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_DN	-0.018904920396896386
MORI_PRE_BI_LYMPHOCYTE_DN	-0.1911688791529645
MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP	-0.11266384570963958
COLLIS_PRKDC_REGULATORS	-0.13278965462593348
NIKOLSKY_BREAST_CANCER_1Q32_AMPLICON	-0.16032992468131757
NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON	-0.20681826596922126
NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON	-0.03754734537111493
STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS	-0.0016674449679684512
TCGA_GLIOBLASTOMA_COPY_NUMBER_DN	-0.13182493988923594
DING_LUNG_CANCER_MUTATED_FREQUENTLY	0.026182411412037105
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER	-0.11706247352174778
TARTE_PLASMA_CELL_VS_B_LYMPHOCYTE_UP	-0.13416374454540866
BYSTROEM_CORRELATED_WITH_IL5_DN	-0.08399575967961731
GOLUB_ALL_VS_AML_UP	-0.12906371941648562
SCHUHMACHER_MYC_TARGETS_DN	-0.27971476426805714
