Set	S1	S2	S3	S4	S5	S6	S7	S8
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.3352093320275969	0.3140778525726304	0.32722542422272183	0.31011912027936267	0.3141533775535811	0.3181506443081776	0.3236468854920302	0.3024229134595391
BUSSLINGER_GASTRIC_IMMUNE_CELLS	0.37655363937199754	0.37246397646870966	0.38487127283639205	0.3796272911026793	0.38947891564786147	0.3722387396372161	0.3933854778199888	0.3790854444028969
BUSSLINGER_DUODENAL_IMMUNE_CELLS	0.39707635769766186	0.39041191207154086	0.3998719549620743	0.3947660459353849	0.39650934012144773	0.392311637645853	0.40684383937049384	0.3975002349552067
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	0.40640143416975777	0.408093734070837	0.41841317446296655	0.40852230955570235	0.41272359031789957	0.40980445766881557	0.42227964530301965	0.4135191254803995
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	0.4210696362040938	0.4219257351830409	0.4161798872074776	0.43030403612279206	0.4156951893857267	0.4316625795162282	0.42236773006433753	0.43066585897442405
MANNO_MIDBRAIN_NEUROTYPES_BASAL	0.44663245020389897	0.4388172859697986	0.4410315520894712	0.4334163066317659	0.43186572191047873	0.44497757584357567	0.43579613958367025	0.4434180244253349
AIZARANI_LIVER_C1_NK_NKT_CELLS_1	0.41365834970026233	0.41894988440929437	0.41756479583808953	0.41291142711088374	0.42115149643552324	0.41766750934100766	0.4330104689700647	0.41220604241636905
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.43267330988315955	0.43350961389624587	0.4296139351595955	0.43340904347428183	0.4369334628228423	0.43460657611572956	0.4389291649540542	0.4318661378483449
AIZARANI_LIVER_C28_NK_NKT_CELLS_6	0.41718775661949264	0.42972769612370765	0.4335158140273148	0.43583104749463814	0.4272800623281319	0.4192498522614026	0.4350991887480079	0.42676102989786546
HAY_BONE_MARROW_CD8_T_CELL	0.318550538147358	0.2970821831491255	0.33788477665153094	0.2810654002564459	0.32792446305141243	0.24614846735524548	0.3400207101632759	0.24361273474781406
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	0.35292507611573726	0.3451838372432277	0.36138691633312425	0.3560216585119818	0.36032314572334345	0.35422760175836665	0.3581618680359165	0.349677787293846
LAKE_ADULT_KIDNEY_C30_IMMUNE_CELLS_MACROPHAGES	0.27171258718122154	0.317106513217381	0.273835258902855	0.322704173451177	0.31562740186773103	0.3203437065467385	0.2880692029981337	0.3242556681567201
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	0.4324901950577725	0.41739334089023794	0.4373872195270791	0.4168108084021055	0.4203542761339797	0.4205729540822846	0.4182372994158439	0.4182283567192835
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS	0.46174931590284035	0.4595089993306981	0.45783598137652165	0.46162802029043615	0.46026813153603807	0.4620009966417726	0.46441269681647185	0.46205448517395253
CUI_DEVELOPING_HEART_C9_B_T_CELL	0.4205823770954308	0.42657068644962276	0.42726849139496054	0.42494294928070386	0.4231407214760263	0.4311336222392553	0.42960917776610225	0.43291488785749266
TRAVAGLINI_LUNG_CD8_MEMORY_EFFECTOR_T_CELL	0.42723532811185033	0.416111301295713	0.4155759855896023	0.4151371779227945	0.4161525345393525	0.4118505735356946	0.4301512641571761	0.3879572253379942
TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL	0.3870706948478444	0.368690466776667	0.3889576354607755	0.3624882143147373	0.4020898662882021	0.3698656791854273	0.4106259725916218	0.36542580060291313
TRAVAGLINI_LUNG_CD4_MEMORY_EFFECTOR_T_CELL	0.4303779181921237	0.42102731106476987	0.4238383597564328	0.42673555115170475	0.4287388683709293	0.42020242630360605	0.4295074205654654	0.43374350069207435
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.43003646330041184	0.4331220093784536	0.41355874836887363	0.439640014590587	0.41983227005194934	0.4410077939995396	0.4235536501877257	0.44169094251368607
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	0.4326952304660626	0.4261866725069369	0.440699600573446	0.4266848383929509	0.43305060576342247	0.4251897812755188	0.43658740660087186	0.42921772419608883
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.39961389933610963	0.3957747932584356	0.39610026830328743	0.3864888424859496	0.3931938020314272	0.391253731178939	0.38842983989937235	0.3867660628945556
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	0.4495399639533967	0.44395118490161206	0.4530002140779273	0.4456040749766399	0.44721120582702356	0.44281509975774297	0.45057445471087676	0.4461448389285486
FAN_OVARY_CL18_B_LYMPHOCYTE	0.3613795818058233	0.3559021637457951	0.37275066732124434	0.35588908047259343	0.36291764474057536	0.35304360438736715	0.368800072235605	0.3584946281101074
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	0.4251429663860198	0.42361875405629684	0.4269702188171129	0.42053093536495006	0.42626736092026457	0.4233138219839185	0.4360541260076869	0.42401578891001407
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	0.4413354020482601	0.43984269026834855	0.4416885712488257	0.4396381471305097	0.4298139143475181	0.4453976609764659	0.4372619489879156	0.44189586218132737
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	0.1647406779413524	0.13809726789649618	0.12614200228301345	0.03797707766004461	0.1810697536154863	0.08623559887217745	0.16022191902875485	-0.014781154316860314
KORKOLA_YOLK_SAC_TUMOR_UP	0.25419818890335194	0.2600383391897436	0.2541225406683185	0.2941523689739281	0.19345975971825974	0.2650659435225493	0.24270581427946877	0.2649333793782682
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	0.05580038906806493	0.30805377266094613	0.31940929086522823	0.34229690248208666	0.2822241449350497	0.11672866691678525	0.26617818138935484	0.3373790924734703
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	0.03883500373113341	0.14392050705270948	0.11945183801667313	0.08947640910154675	0.07644956441583232	0.06023492733073445	0.07292089206421662	0.11116605940944922
KOBAYASHI_EGFR_SIGNALING_6HR_UP	0.3443602100140732	0.3732359230215843	0.3604648415539308	0.373471846637582	0.4284945478770214	0.41671923486659534	0.4370611968187355	0.41156652765940044
CHANDRAN_METASTASIS_TOP50_UP	0.2508143659399672	0.26286056932318747	0.2915620719768777	0.28971795561392666	0.3168442507235422	0.3092009606910244	0.2850214811932759	0.3039189749992753
GRABARCZYK_BCL11B_TARGETS_UP	0.2624599218949611	0.22297616251791186	0.23929733182413823	0.24302244984694055	0.28560148131033924	0.2626562702621461	0.2713646807234849	0.24059629678355735
CHOI_ATL_CHRONIC_VS_ACUTE_DN	0.35333359300352996	0.36398347392051844	0.35808987784780705	0.36395607045922207	0.3315861120900418	0.35094284601705417	0.35156129773968875	0.37959335415802753
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	0.3114128872771585	0.2852126138956697	0.3160167129231145	0.3041648467583381	0.3072705868803109	0.2730141264765107	0.3139456952826646	0.27085588343863926
SCIBETTA_KDM5B_TARGETS_UP	0.32258590430091355	0.28351429230112324	0.2179652063762319	0.21923766189458052	0.23201217554022102	0.24484314130978735	0.2926080972466226	0.22672837476247154
MAYBURD_RESPONSE_TO_L663536_DN	0.3167796586262621	0.3242200351408754	0.31659525008359973	0.3254526052476326	0.32945246835144804	0.3242891163258077	0.313518297360883	0.33394656461034183
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	0.3405613897713691	0.3441161799471784	0.3304107336260321	0.36902061678085274	0.3431068037069294	0.3575588119786983	0.34908517542149003	0.3418665036773141
CHOW_RASSF1_TARGETS_UP	0.16615323450104852	0.17985387702056327	0.22325456477995007	0.17595403659734998	0.21755441385774604	0.191580922614189	0.24748577805044442	0.23180623493713137
CHOW_RASSF1_TARGETS_DN	0.3214420205127347	0.3262947903685677	0.32442888393376057	0.34476957667726077	0.34416339621218495	0.2842885787621064	0.31111178363179737	0.28453947998323426
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.046670462073258694	0.1050983586264639	0.03490354135676948	-0.012684216306307236	0.05318495370354135	0.05819551213367001	0.10754439027144833	0.12135177642404887
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	0.05649384046713293	0.006317630279306794	0.010825074947585488	-0.014320437915621369	-0.037956069636982094	0.0090605567320564	0.03846912606614991	0.0010655942721041227
LANG_MYB_FAMILY_TARGETS	0.2283762627282927	0.23084980384313042	0.2096334702516851	0.20456881051676057	0.1821284271161869	0.13291248870367758	0.22073337118000907	0.22040995425804452
SHIRAISHI_PLZF_TARGETS_UP	-0.17965085586785498	-0.13325256705212393	-0.22156617656763763	-0.08501012625718997	-0.08858485563239983	-0.19830075327389343	-0.23351435377706956	-0.2432113067827158
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP	0.11163098036416454	0.06801384823982204	0.13748975832074103	0.10089841404152752	0.08739413862650572	0.10463519332960389	0.16826480242930708	0.13107117212112024
CHOI_ATL_STAGE_PREDICTOR	0.31231015325441736	0.30760097394378366	0.3127303152956607	0.3322719644605311	0.27578428623500006	0.2986265005223631	0.30453654286718546	0.2969295953080668
NAGY_TFTC_COMPONENTS_HUMAN	0.2894085291910927	0.2559784128224099	0.233723786080803	0.26566754051063307	0.2743075001894472	0.27020802113882764	0.29158332913674245	0.221548098410626
NAGY_STAGA_COMPONENTS_HUMAN	0.35423777136687584	0.3098263112661187	0.2919568492447959	0.32007576714071534	0.31817882078707127	0.31822774162604833	0.3594234057081463	0.27564296163891117
NAGY_PCAF_COMPONENTS_HUMAN	0.36723982098214514	0.3200088697542216	0.353245647589313	0.3457734806083681	0.3725615723081042	0.33408550453096736	0.3898310241042269	0.3000785954683585
SEIDEN_MET_SIGNALING	0.2761304164600383	0.31215083253586906	0.24742317262337207	0.25946916673409565	0.3167920070973878	0.289973026288975	0.25001920554990825	0.3446625515096425
