	Selected	N	n	.
chr1p12	False	49	19	0.3877551020408163
chr1p13	False	205	124	0.6048780487804878
chr1p21	False	99	45	0.45454545454545453
chr1p22	False	129	79	0.6124031007751938
chr1p31	False	217	87	0.4009216589861751
chr1p32	False	152	85	0.5592105263157895
chr1p33	False	60	26	0.43333333333333335
chr1p34	False	275	167	0.6072727272727273
chr1p35	False	130	77	0.5923076923076923
chr1p36	False	656	350	0.5335365853658537
chr1q21	False	392	191	0.4872448979591837
chr1q22	False	70	52	0.7428571428571429
chr1q23	False	217	122	0.5622119815668203
chr1q24	False	123	68	0.5528455284552846
chr1q25	False	160	82	0.5125
chr1q31	False	71	39	0.5492957746478874
chr1q32	False	266	150	0.5639097744360902
chr1q41	False	92	39	0.42391304347826086
chr1q42	False	230	108	0.46956521739130436
chr1q43	False	60	29	0.48333333333333334
chr10p12	False	135	55	0.4074074074074074
chr10p13	False	64	40	0.625
chr10p14	False	47	19	0.40425531914893614
chr10p15	False	86	38	0.4418604651162791
chr10q11	False	184	94	0.5108695652173914
chr10q21	False	116	52	0.4482758620689655
chr10q22	False	202	115	0.5693069306930693
chr10q23	False	190	95	0.5
chr10q24	False	181	106	0.585635359116022
chr10q25	False	126	56	0.4444444444444444
chr10q26	False	200	104	0.52
chr11p11	False	145	62	0.42758620689655175
chr11p12	False	19	8	0.42105263157894735
chr11p14	False	56	21	0.375
chr11q12	False	333	141	0.42342342342342343
chr11q13	False	421	255	0.6057007125890737
chr11q14	False	141	66	0.46808510638297873
chr11q22	False	98	46	0.46938775510204084
chr11q23	False	205	119	0.5804878048780487
chr11q24	False	183	75	0.4098360655737705
chr11q25	False	31	12	0.3870967741935484
chr12p11	False	77	45	0.5844155844155844
chr12p12	False	107	53	0.4953271028037383
chr12p13	False	333	212	0.6366366366366366
chr12q12	False	58	27	0.46551724137931033
chr12q13	False	407	234	0.5749385749385749
chr12q14	False	105	55	0.5238095238095238
chr12q15	False	55	29	0.5272727272727272
chr12q21	False	128	56	0.4375
chr12q22	False	51	22	0.43137254901960786
chr12q23	False	145	84	0.5793103448275863
chr12q24	False	390	227	0.5820512820512821
chr13q11	False	23	8	0.34782608695652173
chr13q12	False	232	104	0.4482758620689655
chr13q13	False	78	29	0.3717948717948718
chr13q14	False	240	118	0.49166666666666664
chr13q22	False	61	16	0.26229508196721313
chr13q31	False	97	15	0.15463917525773196
chr13q32	False	95	39	0.4105263157894737
chr13q33	False	55	22	0.4
chr14q11	False	325	219	0.6738461538461539
chr14q12	False	101	57	0.5643564356435643
chr14q13	False	59	37	0.6271186440677966
chr14q21	False	91	40	0.43956043956043955
