Variant	N
HLA-B (intron_variant)	221
PRKCH (intron_variant)	199
RIPOR2 (intron_variant)	182
APBB1IP (intron_variant)	148
AC016831.6 (intron_variant)	148
AC068587.4 (intron_variant)	137
DOCK8 (intron_variant)	132
HLA-DQA1 (non_coding_transcript_exon_variant)	124
HLA-C (upstream_gene_variant)	121
CELF2 (intron_variant)	114
HLA-DQA1 (downstream_gene_variant)	112
QPRT (intron_variant)	110
AC097634.4 (intron_variant)	110
HLA-DPB1 (downstream_gene_variant)	110
SPN (intron_variant)	107
SPN (3_prime_UTR_variant)	107
SPN (downstream_gene_variant)	107
ARHGAP15 (intron_variant)	104
AP001011.2 (intron_variant)	95
HLA-C (downstream_gene_variant)	91
CYP20A1 (intron_variant)	89
HLA-C (non_coding_transcript_exon_variant)	89
HLA-DQA1 (3_prime_UTR_variant)	89
AL138752.2 (intron_variant)	89
LINC-PINT (intron_variant)	88
FOXP1 (intron_variant)	86
HLA-DQB1 (non_coding_transcript_exon_variant)	86
ANKRD44 (intron_variant)	86
HLA-B (upstream_gene_variant)	85
AC010894.3 (intron_variant)	85
FTX (intron_variant)	85
ZNF83 (intron_variant)	85
IKZF3 (3_prime_UTR_variant)	84
PRKCB (intron_variant)	84
CYP20A1 (3_prime_UTR_variant)	83
CD6 (intron_variant)	83
AC116366.3 (intron_variant)	83
JAK1 (intron_variant)	83
ITK (intron_variant)	83
PCED1B (intron_variant)	82
STK10 (intron_variant)	82
TPTE2P6 (intron_variant)	82
AC093423.3 (intron_variant)	80
CCND3 (intron_variant)	80
IQGAP2 (intron_variant)	80
HLA-DPB1 (3_prime_UTR_variant)	80
ITGA4 (intron_variant)	79
FYN (intron_variant)	79
AC242426.2 (intron_variant)	79
FDFT1 (downstream_gene_variant)	77
MBP (intron_variant)	77
PRKCH (upstream_gene_variant)	76
AC011825.3 (intron_variant)	76
SPN (non_coding_transcript_exon_variant)	76
SMCHD1 (intron_variant)	75
AL671277.1 (upstream_gene_variant)	75
AL031282.2 (intron_variant)	75
IKZF3 (downstream_gene_variant)	74
ARMH4 (intron_variant)	74
CD247 (intron_variant)	73
PDXDC1 (intron_variant)	73
PITPNC1 (intron_variant)	73
PSMB9 (intron_variant)	72
TTC3P1 (non_coding_transcript_exon_variant)	72
CAMK4 (intron_variant)	72
HLA-B (non_coding_transcript_exon_variant)	71
USP8P1 (upstream_gene_variant)	71
MIR6891 (upstream_gene_variant)	71
SERINC5 (intron_variant)	71
LINC00243 (intron_variant)	70
CFLAR (downstream_gene_variant)	70
AC011477.3 (intron_variant)	70
RUNX1 (intron_variant)	69
AC004551.1 (intron_variant)	69
EPB41 (intron_variant)	69
HLA-C (intron_variant)	69
CAPZB (intron_variant)	68
BCL11B (intron_variant)	68
LEPROTL1 (intron_variant)	68
HLA-DPA2 (downstream_gene_variant)	67
CYP20A1 (downstream_gene_variant)	67
CTSB (intron_variant)	67
IRF1-AS1 (intron_variant)	67
LINC01550 (intron_variant)	67
FNBP1 (intron_variant)	67
FMO5 (intron_variant)	66
FYB1 (intron_variant)	66
UBAC2 (intron_variant)	66
TBCA (intron_variant)	66
AC022137.3 (intron_variant)	66
ZNF814 (downstream_gene_variant)	65
TTC39C (intron_variant)	65
TNRC6B (intron_variant)	65
CYTH1 (intron_variant)	65
PCBD2 (intron_variant)	65
AC027644.4 (intron_variant)	65
CTSB (downstream_gene_variant)	65
PHACTR2 (intron_variant)	64
SLC35E2A (intron_variant)	64
SEMA4D (intron_variant)	64
MUC20-OT1 (downstream_gene_variant)	64
AL645929.3 (upstream_gene_variant)	64
DOCK10 (intron_variant)	64
DOCK2 (intron_variant)	64
METTL22 (downstream_gene_variant)	64
ZNF56 (intron_variant)	64
ZKSCAN7-AS1 (intron_variant)	63
CHST11 (intron_variant)	63
TNIK (intron_variant)	63
CARD8 (intron_variant)	63
INPP5D (intron_variant)	62
ZNF815P (intron_variant)	62
XYLT1 (intron_variant)	62
SEPTIN9 (intron_variant)	62
RABGAP1L (intron_variant)	62
SLFN12L (intron_variant)	62
TBC1D5 (intron_variant)	61
CMAHP (intron_variant)	61
MTND3P25 (downstream_gene_variant)	61
AC022137.4 (intron_variant)	61
PRH1 (intron_variant)	60
AP001582.1-CD3D (intergenic_region)	60
GRAMD1B (intron_variant)	59
ZNRD1ASP (intron_variant)	59
ARHGAP25 (intron_variant)	59
AC018630.2 (intron_variant)	59
HLA-B (downstream_gene_variant)	59
CD3D (downstream_gene_variant)	59
AC079793.1 (intron_variant)	59
AL031282.1 (upstream_gene_variant)	59
USP3 (intron_variant)	59
MUC20-OT1 (upstream_gene_variant)	59
STK38 (intron_variant)	59
ZNF815P (downstream_gene_variant)	58
KLF12 (intron_variant)	58
KIF2A (intron_variant)	58
TAS2R14 (intron_variant)	58
AL031282.1 (intron_variant)	57
ITGA4 (downstream_gene_variant)	57
AL671883.2 (upstream_gene_variant)	57
KLC1 (intron_variant)	57
SP100 (downstream_gene_variant)	57
CDC42SE2 (intron_variant)	57
AL359736.1 (intron_variant)	57
SP100 (intron_variant)	57
ATM (intron_variant)	57
RHOH (intron_variant)	57
NLRC5 (intron_variant)	57
CFLAR (3_prime_UTR_variant)	56
STAT1 (intron_variant)	56
SMAD3 (intron_variant)	56
VHL (downstream_gene_variant)	56
SEPTIN9 (downstream_gene_variant)	56
SLC35E2A (downstream_gene_variant)	56
CHFR (intron_variant)	56
AC008878.3 (intron_variant)	56
AL645929.1 (upstream_gene_variant)	56
TAP1 (upstream_gene_variant)	56
ZC3H12D (downstream_gene_variant)	55
MIR2114 (downstream_gene_variant)	55
RORA-AS1 (intron_variant)	55
MTND4LP30 (downstream_gene_variant)	55
AC008670.1 (upstream_gene_variant)	55
SPTAN1 (downstream_gene_variant)	55
LINC01122 (intron_variant)	55
ZC3H12D (upstream_gene_variant)	55
ASIP (intron_variant)	54
RBL2 (intron_variant)	54
PSMB9 (upstream_gene_variant)	54
C19orf53 (upstream_gene_variant)	54
STAG2 (intron_variant)	54
AC006369.1 (intron_variant)	54
MUC20-OT1 (intron_variant)	54
HCG17 (intron_variant)	54
HLA-DQB1 (upstream_gene_variant)	54
RAB11A (intron_variant)	54
WIPF1 (intron_variant)	54
INPP4B (intron_variant)	54
RORA (intron_variant)	54
ZNF506 (downstream_gene_variant)	54
ZC3H12D (intron_variant)	54
AC079447.1 (intron_variant)	53
HLA-DQB1 (intron_variant)	53
PARP11 (intron_variant)	53
RESF1 (intron_variant)	53
MARK3 (intron_variant)	53
HSPA9P1 (non_coding_transcript_exon_variant)	53
PVT1 (intron_variant)	53
ANKH (intron_variant)	53
SOD2 (intron_variant)	53
FMO5 (downstream_gene_variant)	52
MRI1 (downstream_gene_variant)	52
RXYLT1-AS1 (upstream_gene_variant)	52
MPRIP (intron_variant)	52
AP000295.1 (intron_variant)	52
AP4S1 (intron_variant)	52
ZNF506 (intron_variant)	52
CTSB (3_prime_UTR_variant)	52
AC025857.2 (downstream_gene_variant)	52
HLA-DPA1 (upstream_gene_variant)	52
HLA-DPA1 (non_coding_transcript_exon_variant)	52
SLC4A10 (intron_variant)	52
XRCC6P2 (non_coding_transcript_exon_variant)	52
TRIM5 (intron_variant)	52
MTCYBP18 (upstream_gene_variant)	51
STK17B (intron_variant)	51
MGST1 (intron_variant)	51
AC010149.1 (intron_variant)	51
AC244502.1 (intron_variant)	51
GCFC2 (intron_variant)	51
AC007238.1 (non_coding_transcript_exon_variant)	51
LRRC8C (intron_variant)	50
RFTN1 (intron_variant)	50
AL121594.1 (intron_variant)	50
MAML2 (intron_variant)	50
ST6GAL1 (intron_variant)	50
ZBTB25 (intron_variant)	50
EVL (intron_variant)	50
PIPSL (non_coding_transcript_exon_variant)	50
CRBN (downstream_gene_variant)	49
WDPCP (intron_variant)	49
USP20 (intron_variant)	49
AL669831.3 (intron_variant)	49
ATM (downstream_gene_variant)	49
SUPT16HP1 (non_coding_transcript_exon_variant)	49
ARHGEF3 (intron_variant)	49
GRAMD1B (downstream_gene_variant)	49
VOPP1 (intron_variant)	49
RBAK-RBAKDN (intron_variant)	49
USP8P1 (downstream_gene_variant)	49
GRAP2 (intron_variant)	48
PAG1 (intron_variant)	48
ARPC2 (upstream_gene_variant)	48
ARPC2 (intron_variant)	48
UBE2I (intron_variant)	48
