Variant	N
HLA-B (intron_variant)	186
AC097634.4 (intron_variant)	165
PRKCH (intron_variant)	142
FOXP1 (intron_variant)	138
RIPOR2 (intron_variant)	132
AL671277.1 (upstream_gene_variant)	127
ZNF83 (intron_variant)	122
AL645929.3 (upstream_gene_variant)	122
QPRT (intron_variant)	122
SPN (downstream_gene_variant)	121
SPN (3_prime_UTR_variant)	120
SPN (intron_variant)	118
FTX (intron_variant)	107
ZNF815P (intron_variant)	106
MUC20-OT1 (downstream_gene_variant)	103
STK38 (intron_variant)	101
AL138752.2 (intron_variant)	100
MUC20-OT1 (intron_variant)	99
KANSL1 (intron_variant)	97
PDXDC1 (intron_variant)	95
HLA-C (upstream_gene_variant)	95
AL645929.1 (upstream_gene_variant)	95
LINC00243 (intron_variant)	94
MUC20-OT1 (upstream_gene_variant)	93
CAMK4 (intron_variant)	92
PCED1B (intron_variant)	92
ZNF815P (downstream_gene_variant)	91
AC010636.2 (intron_variant)	91
CYP20A1 (intron_variant)	89
TTC3P1 (non_coding_transcript_exon_variant)	89
OXNAD1 (intron_variant)	89
IKZF3 (3_prime_UTR_variant)	88
TBC1D5 (intron_variant)	87
AC092279.1 (intron_variant)	87
AC092279.2 (intron_variant)	86
AC016831.6 (intron_variant)	86
ARHGAP15 (intron_variant)	85
AC079447.1 (intron_variant)	84
EVL (intron_variant)	83
SPN (non_coding_transcript_exon_variant)	83
AC011477.3 (intron_variant)	82
AC010894.3 (intron_variant)	82
SEPTIN9 (intron_variant)	82
CTSB (intron_variant)	82
RFTN1 (intron_variant)	81
FHIT (intron_variant)	80
FNBP1 (intron_variant)	79
STK10 (intron_variant)	79
ZNF56 (intron_variant)	79
AC020915.5 (intron_variant)	79
AC116366.3 (intron_variant)	79
ANKRD44 (intron_variant)	79
IKZF3 (downstream_gene_variant)	78
CYP20A1 (3_prime_UTR_variant)	78
CTSB (downstream_gene_variant)	78
KDM4C (intron_variant)	77
FDFT1 (downstream_gene_variant)	77
STK17A (intron_variant)	77
SNHG14 (intron_variant)	77
AC242426.2 (intron_variant)	76
HLA-A (intron_variant)	76
LINC01550 (intron_variant)	75
AC021087.5 (intron_variant)	75
AC008554.1 (intron_variant)	75
METTL22 (downstream_gene_variant)	74
LEF1 (intron_variant)	74
CELF2 (intron_variant)	74
HLA-C (non_coding_transcript_exon_variant)	74
AP001582.1-CD3D (intergenic_region)	73
AC011825.3 (intron_variant)	73
CD3D (downstream_gene_variant)	73
JAK1 (intron_variant)	72
ZNRD1ASP (intron_variant)	71
AL031282.2 (intron_variant)	70
TPTE2P6 (intron_variant)	70
AP001011.2 (intron_variant)	70
HLA-A (downstream_gene_variant)	69
LGALS8 (downstream_gene_variant)	69
HLA-C (downstream_gene_variant)	69
CHFR (intron_variant)	69
FMN2 (intron_variant)	69
SDHAP1 (downstream_gene_variant)	68
HLA-A (non_coding_transcript_exon_variant)	68
HLA-H (non_coding_transcript_exon_variant)	67
AC124312.1 (intron_variant)	67
FMO5 (intron_variant)	67
TRG-AS1 (intron_variant)	66
CARD8 (intron_variant)	66
RBM39 (upstream_gene_variant)	66
CYP20A1 (downstream_gene_variant)	66
STAT1 (intron_variant)	66
AL359918.2 (non_coding_transcript_exon_variant)	65
RBM39 (downstream_gene_variant)	65
DOCK8 (intron_variant)	65
ZNF506 (downstream_gene_variant)	65
STAG2 (intron_variant)	65
KLC1 (intron_variant)	65
ZNF506 (intron_variant)	64
PCBD2 (intron_variant)	64
ATM (intron_variant)	64
MGST1 (intron_variant)	64
ANKH (intron_variant)	64
DNAJC16 (intron_variant)	63
PNKD (intron_variant)	63
FYB1 (intron_variant)	63
ZNF814 (downstream_gene_variant)	63
MAVS (3_prime_UTR_variant)	63
XYLT1 (intron_variant)	62
LEPROTL1 (intron_variant)	62
SUPT16HP1 (non_coding_transcript_exon_variant)	62
UBAC2 (intron_variant)	62
AKAP13 (downstream_gene_variant)	62
HLA-A-HLA-W (intergenic_region)	61
KHNYN (downstream_gene_variant)	61
ARMH4 (intron_variant)	61
CD6 (intron_variant)	61
ATM (downstream_gene_variant)	61
NUCB2 (intron_variant)	61
HLA-B (upstream_gene_variant)	60
VHL (downstream_gene_variant)	60
SEPTIN9 (downstream_gene_variant)	59
LRRC28 (intron_variant)	59
AP000295.1 (intron_variant)	59
ARPC2 (downstream_gene_variant)	59
AC009163.5 (intron_variant)	59
HCP5 (downstream_gene_variant)	59
PITPNC1 (intron_variant)	59
ZNF814 (intron_variant)	59
KIF2A (intron_variant)	59
TAF1D (intron_variant)	59
PRKRIP1 (intron_variant)	59
IRF1-AS1 (intron_variant)	59
AC027644.4 (intron_variant)	58
AL031282.1 (upstream_gene_variant)	58
APBB1IP (intron_variant)	58
DOCK10 (intron_variant)	58
MDM4 (downstream_gene_variant)	57
CHURC1-FNTB (intron_variant)	57
GGT1 (intron_variant)	57
AC025857.2 (downstream_gene_variant)	57
ITK (intron_variant)	57
ZNF101 (intron_variant)	57
SUCLA2 (intron_variant)	57
RESF1 (downstream_gene_variant)	57
COA1 (intron_variant)	57
FYN (intron_variant)	57
LINC01122 (intron_variant)	56
HLA-B (non_coding_transcript_exon_variant)	56
ASIP (intron_variant)	56
AKAP13 (intron_variant)	56
IL7R (downstream_gene_variant)	56
BCL11B (intron_variant)	56
SSR1 (intron_variant)	56
FOXP1 (downstream_gene_variant)	55
SLC35E2A (downstream_gene_variant)	55
MRI1 (downstream_gene_variant)	55
ZNF83 (downstream_gene_variant)	55
C19orf53 (upstream_gene_variant)	55
USP8P1 (upstream_gene_variant)	55
HLA-C (intron_variant)	55
LRRC28 (downstream_gene_variant)	55
AC092821.4 (downstream_gene_variant)	55
CTSB (3_prime_UTR_variant)	55
ARPC2 (upstream_gene_variant)	55
LINC01138 (intron_variant)	55
WDPCP (intron_variant)	55
ARPC2 (intron_variant)	55
UXS1 (intron_variant)	54
TPTE2P5 (intron_variant)	54
ZNF626 (downstream_gene_variant)	54
ST3GAL1 (intron_variant)	54
AC092279.2 (non_coding_transcript_exon_variant)	54
TSTD3 (intron_variant)	54
LDLRAD4 (intron_variant)	54
AC092279.2 (downstream_gene_variant)	54
RXYLT1-AS1 (upstream_gene_variant)	54
MIR2114 (downstream_gene_variant)	54
AC004551.1 (intron_variant)	54
PSMG4 (intron_variant)	54
AC010197.2 (intron_variant)	54
AC087721.2 (intron_variant)	54
RUNX1 (intron_variant)	54
USP20 (intron_variant)	54
RBM39 (intron_variant)	54
CD247 (intron_variant)	53
