Variant	N
HLA-B (intron_variant)	141
AL671277.1 (upstream_gene_variant)	76
HLA-C (non_coding_transcript_exon_variant)	67
HLA-C (upstream_gene_variant)	62
AL645929.3 (upstream_gene_variant)	62
HLA-B (non_coding_transcript_exon_variant)	59
HLA-H (non_coding_transcript_exon_variant)	59
HLA-A (non_coding_transcript_exon_variant)	57
HLA-A (intron_variant)	54
CTSB (downstream_gene_variant)	54
HLA-C (downstream_gene_variant)	53
CTSB (intron_variant)	51
HLA-B (upstream_gene_variant)	48
AL671883.2 (upstream_gene_variant)	48
AL645929.1 (upstream_gene_variant)	48
HLA-G (non_coding_transcript_exon_variant)	47
LINC01122 (intron_variant)	46
TBCA (intron_variant)	46
HLA-DQB1 (non_coding_transcript_exon_variant)	46
AC242426.2 (intron_variant)	46
FMO5 (intron_variant)	45
TPTE2P6 (intron_variant)	44
SSR1 (intron_variant)	43
MIR2114 (downstream_gene_variant)	42
USP8P1 (downstream_gene_variant)	42
HLA-DPA1 (upstream_gene_variant)	42
AC007238.1 (non_coding_transcript_exon_variant)	42
RPL3P2 (non_coding_transcript_exon_variant)	41
HNRNPKP4 (non_coding_transcript_exon_variant)	41
HLA-B (downstream_gene_variant)	41
RIPOR2 (intron_variant)	41
CTSB (3_prime_UTR_variant)	41
AC025857.2 (downstream_gene_variant)	41
MIR6891 (upstream_gene_variant)	40
RXYLT1-AS1 (upstream_gene_variant)	40
RN7SL732P (upstream_gene_variant)	39
FDFT1 (downstream_gene_variant)	39
AC091810.1 (downstream_gene_variant)	39
XRCC6P2 (non_coding_transcript_exon_variant)	39
MIR1199 (upstream_gene_variant)	38
MISP3 (upstream_gene_variant)	38
AL138752.2 (intron_variant)	38
PCBD2 (intron_variant)	37
AKAP13 (downstream_gene_variant)	37
MTND3P25 (downstream_gene_variant)	37
PABPC1P4 (non_coding_transcript_exon_variant)	37
MT-ND4 (downstream_gene_variant)	37
IKZF3 (3_prime_UTR_variant)	37
RPL3P7 (non_coding_transcript_exon_variant)	36
HLA-DPA1 (non_coding_transcript_exon_variant)	36
MT-TH (downstream_gene_variant)	36
MT-TS2 (downstream_gene_variant)	36
MT-TL2 (downstream_gene_variant)	36
TTC3P1 (non_coding_transcript_exon_variant)	36
HLA-C (intron_variant)	36
ACTBP2 (non_coding_transcript_exon_variant)	36
USP8P1 (upstream_gene_variant)	35
AC004551.1 (intron_variant)	35
HLA-DQB1 (intron_variant)	35
MTND4LP30 (downstream_gene_variant)	35
AC008670.1 (upstream_gene_variant)	35
HLA-C (3_prime_UTR_variant)	34
MTCYBP18 (upstream_gene_variant)	33
FMN2 (intron_variant)	33
AL359918.2 (non_coding_transcript_exon_variant)	33
ANKH (intron_variant)	33
MSNP1 (non_coding_transcript_exon_variant)	33
QPRT (intron_variant)	33
SLC35E2A (intron_variant)	33
IL7R (downstream_gene_variant)	32
IKZF3 (downstream_gene_variant)	32
AKAP13 (upstream_gene_variant)	31
SPN (downstream_gene_variant)	31
SPN (3_prime_UTR_variant)	31
AL596087.2 (intron_variant)	31
HLA-DPB1 (non_coding_transcript_exon_variant)	31
SPN (intron_variant)	31
AL596087.1 (non_coding_transcript_exon_variant)	31
RESF1 (intron_variant)	31
AP001011.2 (intron_variant)	31
HLA-DPB1 (downstream_gene_variant)	30
PSMB9 (intron_variant)	30
HNRNPKP1 (non_coding_transcript_exon_variant)	30
PIPSL (non_coding_transcript_exon_variant)	30
ASIP (intron_variant)	30
HLA-DPA1 (downstream_gene_variant)	30
MTND6P4 (downstream_gene_variant)	30
PRKCH (intron_variant)	30
KHNYN (downstream_gene_variant)	30
SLC35G1 (downstream_gene_variant)	30
HSP90AB3P (non_coding_transcript_exon_variant)	30
MT-ND5 (downstream_gene_variant)	29
WDPCP (intron_variant)	29
EIF2B5 (downstream_gene_variant)	29
CD6 (intron_variant)	29
BNIP2 (downstream_gene_variant)	29
AL031282.1 (intron_variant)	29
RIPOR2 (downstream_gene_variant)	29
LGALS8 (downstream_gene_variant)	29
GAPDHP1 (non_coding_transcript_exon_variant)	29
CAGE1 (intron_variant)	28
AC092755.1 (intron_variant)	28
AC010894.3 (intron_variant)	28
AC087633.2 (intron_variant)	28
MIR2052HG (intron_variant)	28
AL139095.3 (downstream_gene_variant)	28
HCG17 (intron_variant)	28
MT-TP (downstream_gene_variant)	28
AC087633.2 (non_coding_transcript_exon_variant)	28
MT-TT (upstream_gene_variant)	28
CD3D (downstream_gene_variant)	28
HLA-DRB1 (missense_variant)	28
AP001582.1-CD3D (intergenic_region)	28
SPN (non_coding_transcript_exon_variant)	28
CAST (downstream_gene_variant)	27
HLA-DRB1 (3_prime_UTR_variant)	27
H2AZ2 (downstream_gene_variant)	27
MT-ND4L (downstream_gene_variant)	27
HLA-C (missense_variant)	27
AL031282.1 (upstream_gene_variant)	26
KIF2A (intron_variant)	26
RBBP4P1 (non_coding_transcript_exon_variant)	26
CARD8 (upstream_gene_variant)	26
HLA-DPB1 (upstream_gene_variant)	26
FMO5 (downstream_gene_variant)	26
AL354696.2 (intron_variant)	26
PCDH11X (intron_variant)	26
ZNF573 (intron_variant)	26
CARS2 (downstream_gene_variant)	26
HLA-DQB1 (upstream_gene_variant)	26
AC244502.1 (intron_variant)	26
FAM174B (intron_variant)	26
AC011825.3 (intron_variant)	25
GLG1 (downstream_gene_variant)	25
EIF4A1P10 (non_coding_transcript_exon_variant)	25
AC115837.1 (non_coding_transcript_exon_variant)	25
CD44 (intron_variant)	25
EEF1DP1 (non_coding_transcript_exon_variant)	25
AC016831.6 (intron_variant)	25
ESYT2 (downstream_gene_variant)	25
HLA-A (missense_variant)	25
HCG4B (upstream_gene_variant)	25
MT-TE (upstream_gene_variant)	25
MT-ND6 (upstream_gene_variant)	25
HCG4P8 (upstream_gene_variant)	25
HCG4P8 (non_coding_transcript_exon_variant)	25
HLA-G (missense_variant)	25
NOB1 (upstream_gene_variant)	25
RESF1 (downstream_gene_variant)	25
MYH9 (downstream_gene_variant)	25
MT-TI (upstream_gene_variant)	25
CHFR (intron_variant)	25
MT-TQ (downstream_gene_variant)	25
MT-TM (upstream_gene_variant)	25
MT-ND2 (upstream_gene_variant)	25
MT-ND3 (downstream_gene_variant)	24
PDXDC1 (intron_variant)	24
MT-TR (downstream_gene_variant)	24
AL031282.2 (intron_variant)	24
AL390957.1 (intron_variant)	24
LINC00667 (non_coding_transcript_exon_variant)	24
SDR39U1 (downstream_gene_variant)	24
HLA-DQB1 (3_prime_UTR_variant)	24
PDIA3P1 (downstream_gene_variant)	24
AL132800.1 (upstream_gene_variant)	24
HLA-G (intron_variant)	24
AC087633.2 (upstream_gene_variant)	24
RRP36 (upstream_gene_variant)	24
CFLAR (downstream_gene_variant)	24
FTX (intron_variant)	24
EVL (intron_variant)	24
ERAP1 (downstream_gene_variant)	24
AL139095.2 (non_coding_transcript_exon_variant)	24
HSP90AA2P (non_coding_transcript_exon_variant)	23
ZNF573 (downstream_gene_variant)	23
GAPDHP65 (non_coding_transcript_exon_variant)	23
HLA-DPB1 (missense_variant)	23
HLA-A (downstream_gene_variant)	23
AC106872.5 (upstream_gene_variant)	23
PDIA3P1 (non_coding_transcript_exon_variant)	23
ZNRD1ASP (intron_variant)	23
ESYT2 (3_prime_UTR_variant)	23
AC106872.1 (upstream_gene_variant)	23
ABCA7 (upstream_gene_variant)	23
LEPROTL1 (intron_variant)	23
LINC01122 (upstream_gene_variant)	23
TBC1D5 (intron_variant)	23
HNRNPKP2 (non_coding_transcript_exon_variant)	23
STAT1 (intron_variant)	23
HLA-DQB1-AS1 (downstream_gene_variant)	23
MIR6891 (downstream_gene_variant)	23
RNF125 (downstream_gene_variant)	23
HLA-B (missense_variant)	23
LRRC28 (downstream_gene_variant)	22
LRRC28 (intron_variant)	22
AC010149.1 (intron_variant)	22
DDX3X (downstream_gene_variant)	22
GBP2 (downstream_gene_variant)	22
STK17B (downstream_gene_variant)	22
AC011447.3 (intron_variant)	22
AC026462.4 (intron_variant)	22
NAGLU (upstream_gene_variant)	22
AC131235.2 (non_coding_transcript_exon_variant)	22
MT-TL1 (upstream_gene_variant)	22
HCP5 (downstream_gene_variant)	22
AL355497.1 (intron_variant)	22
ULBP1 (downstream_gene_variant)	22
HCP5 (non_coding_transcript_exon_variant)	22
BTF3P10 (non_coding_transcript_exon_variant)	22
PABPC3 (missense_variant)	22
NBL1 (intron_variant)	22
KHNYN (3_prime_UTR_variant)	22
MICOS10-NBL1 (intron_variant)	22
AC004151.1 (upstream_gene_variant)	22
MT-ND1 (upstream_gene_variant)	22
SOD2 (intron_variant)	22
SLC35E2A (downstream_gene_variant)	22
VHL (downstream_gene_variant)	22
SLC35E2A (3_prime_UTR_variant)	22
BTN3A1 (non_coding_transcript_exon_variant)	22
CASC16 (upstream_gene_variant)	22
AC019205.1 (intron_variant)	22
AC019205.1 (non_coding_transcript_exon_variant)	22
AL669831.3 (intron_variant)	22
CASK (intron_variant)	21
RPL32P1 (downstream_gene_variant)	21
SEPTIN9 (intron_variant)	21
HLA-DPB1 (3_prime_UTR_variant)	21
AC027644.4 (intron_variant)	21
ABHD2 (3_prime_UTR_variant)	21
PSMB8 (upstream_gene_variant)	21
ABLIM1 (downstream_gene_variant)	21
HLA-E (upstream_gene_variant)	21
AC004151.1 (downstream_gene_variant)	21
AC078899.1 (non_coding_transcript_exon_variant)	21
ENO1P1 (non_coding_transcript_exon_variant)	21
EDARADD (downstream_gene_variant)	21
EDARADD (3_prime_UTR_variant)	21
EDARADD (intron_variant)	21
CD6 (downstream_gene_variant)	21
TRIM5 (intron_variant)	21
CLEC2D (intron_variant)	21
SNRPN (intron_variant)	21
PCED1B (intron_variant)	21
RNF166 (intron_variant)	21
LHFPL3 (intron_variant)	21
EIF3EP1 (non_coding_transcript_exon_variant)	21
RPSAP41 (downstream_gene_variant)	21
NUP50 (downstream_gene_variant)	21
ATG4B (downstream_gene_variant)	21
SNHG14 (intron_variant)	21
AL136115.2 (intron_variant)	21
PTP4A2 (downstream_gene_variant)	21
AC067852.1 (upstream_gene_variant)	21
CAST (intron_variant)	21
CARD8 (intron_variant)	20
HLA-G (synonymous_variant)	20
AL645929.1 (non_coding_transcript_exon_variant)	20
AC116366.3 (intron_variant)	20
IRAK3 (intron_variant)	20
AC107976.1 (intron_variant)	20
NUP50 (3_prime_UTR_variant)	20
CFLAR (3_prime_UTR_variant)	20
TGOLN2 (downstream_gene_variant)	20
H2AZ2 (intron_variant)	20
HSP90B2P (non_coding_transcript_exon_variant)	20
BTF3 (downstream_gene_variant)	20
AP000295.1 (intron_variant)	20
NCAPD2 (upstream_gene_variant)	20
SLFN5 (3_prime_UTR_variant)	20
MTND5P11 (upstream_gene_variant)	20
CDC42SE2 (intron_variant)	20
SEC23B (upstream_gene_variant)	20
AL512844.1 (non_coding_transcript_exon_variant)	20
AL512844.2 (upstream_gene_variant)	20
SEPTIN9 (downstream_gene_variant)	20
NACA3P (non_coding_transcript_exon_variant)	20
HLA-DQA1 (non_coding_transcript_exon_variant)	20
HLA-DRB5 (missense_variant)	20
GNG2 (intron_variant)	20
UBAC2 (intron_variant)	20
CLTC (upstream_gene_variant)	20
AL138733.1 (intron_variant)	20
KHDC1 (intron_variant)	20
BNIP2 (3_prime_UTR_variant)	20
RPL4P4 (non_coding_transcript_exon_variant)	20
MT-CO3 (downstream_gene_variant)	20
SEMA4D (intron_variant)	20
MAP3K13 (intron_variant)	20
CAPN1 (downstream_gene_variant)	20
AL138930.1 (intron_variant)	20
CD44 (downstream_gene_variant)	20
MT-TG (downstream_gene_variant)	20
NDUFS2 (upstream_gene_variant)	20
CRBN (intron_variant)	19
KATNA1 (downstream_gene_variant)	19
XPOTP1 (non_coding_transcript_exon_variant)	19
MT-CYB (upstream_gene_variant)	19
NUDCD3 (intron_variant)	19
H2AZ2P1 (downstream_gene_variant)	19
AC091544.6 (intron_variant)	19
AC124312.1 (intron_variant)	19
SCHLAP1 (intron_variant)	19
PPIA (downstream_gene_variant)	19
CD84 (3_prime_UTR_variant)	19
FNBP1 (intron_variant)	19
CRBN (downstream_gene_variant)	19
CD84 (downstream_gene_variant)	19
CARHSP1 (downstream_gene_variant)	19
PHF11 (downstream_gene_variant)	19
SPCS3 (downstream_gene_variant)	19
C2orf88 (intron_variant)	19
HLA-K (downstream_gene_variant)	19
CTR9 (upstream_gene_variant)	19
CTR9 (downstream_gene_variant)	19
CALM2P3 (non_coding_transcript_exon_variant)	19
RTL6 (3_prime_UTR_variant)	19
MT-TE (downstream_gene_variant)	19
TESPA1 (downstream_gene_variant)	19
AC009163.5 (intron_variant)	19
STK4 (downstream_gene_variant)	19
SPCS3 (3_prime_UTR_variant)	19
MDN1 (intron_variant)	19
SP100 (downstream_gene_variant)	19
USP3 (intron_variant)	19
CCT8P1 (non_coding_transcript_exon_variant)	19
RPS19P1 (non_coding_transcript_exon_variant)	19
RABEP1 (downstream_gene_variant)	19
CAPN1 (non_coding_transcript_exon_variant)	19
OXR1 (intron_variant)	19
FTH1P10 (non_coding_transcript_exon_variant)	19
ETFRF1 (intron_variant)	19
MGST1 (intron_variant)	19
HSPA9P1 (non_coding_transcript_exon_variant)	19
SUPT16HP1 (non_coding_transcript_exon_variant)	19
CNN2 (downstream_gene_variant)	19
SLC38A1 (downstream_gene_variant)	19
MTND1P23 (downstream_gene_variant)	19
TGOLN2 (3_prime_UTR_variant)	19
CERK (downstream_gene_variant)	19
ETFRF1 (downstream_gene_variant)	19
GTF2A2 (upstream_gene_variant)	19
RORA-AS1 (intron_variant)	19
MTCO3P12 (upstream_gene_variant)	19
SIPA1 (upstream_gene_variant)	19
RNF166 (upstream_gene_variant)	19
ZNRD1ASP (downstream_gene_variant)	19
BTN3A1 (downstream_gene_variant)	19
ARPC2 (upstream_gene_variant)	19
HCLS1 (downstream_gene_variant)	19
THEM4 (downstream_gene_variant)	18
AC092115.2 (non_coding_transcript_exon_variant)	18
MT-TW (upstream_gene_variant)	18
MT-TF (downstream_gene_variant)	18
AC116347.1 (non_coding_transcript_exon_variant)	18
JAK1 (downstream_gene_variant)	18
NUP88 (intron_variant)	18
AC009126.1 (intron_variant)	18
AL671277.2 (upstream_gene_variant)	18
COX4I1 (intron_variant)	18
MICOS10 (intron_variant)	18
MT-TN (downstream_gene_variant)	18
IL17RA (3_prime_UTR_variant)	18
PTPRC (intron_variant)	18
API5P1 (non_coding_transcript_exon_variant)	18
ITK (intron_variant)	18
MAN2B1 (downstream_gene_variant)	18
TLN1 (upstream_gene_variant)	18
GSPT1 (intron_variant)	18
TRBV21OR9-2 (upstream_gene_variant)	18
ARPC2 (non_coding_transcript_exon_variant)	18
RESF1 (upstream_gene_variant)	18
HLA-J (non_coding_transcript_exon_variant)	18
SMCHD1 (downstream_gene_variant)	18
MT-TA (downstream_gene_variant)	18
ABLIM1 (3_prime_UTR_variant)	18
EPB41 (intron_variant)	18
GCDH (downstream_gene_variant)	18
MTND4P12 (non_coding_transcript_exon_variant)	18
