	Selected	N	n	.
chr1p12	False	49	10	0.20408163265306123
chr1p13	False	205	98	0.47804878048780486
chr1p21	False	99	29	0.29292929292929293
chr1p22	False	129	56	0.43410852713178294
chr1p31	False	217	60	0.2764976958525346
chr1p32	False	152	58	0.3815789473684211
chr1p33	False	60	17	0.2833333333333333
chr1p34	False	275	137	0.49818181818181817
chr1p35	False	130	69	0.5307692307692308
chr1p36	False	656	279	0.4253048780487805
chr1q21	False	392	148	0.37755102040816324
chr1q22	False	70	42	0.6
chr1q23	False	217	97	0.4470046082949309
chr1q24	False	123	50	0.4065040650406504
chr1q25	False	160	61	0.38125
chr1q31	False	71	28	0.39436619718309857
chr1q32	False	266	118	0.44360902255639095
chr1q41	False	92	28	0.30434782608695654
chr1q42	False	230	78	0.3391304347826087
chr1q43	False	60	13	0.21666666666666667
chr10p12	False	135	37	0.2740740740740741
chr10p13	False	64	27	0.421875
chr10p14	False	47	14	0.2978723404255319
chr10p15	False	86	26	0.3023255813953488
chr10q11	False	184	45	0.24456521739130435
chr10q21	False	116	31	0.2672413793103448
chr10q22	False	202	74	0.36633663366336633
chr10q23	False	190	67	0.3526315789473684
chr10q24	False	181	80	0.4419889502762431
chr10q25	False	126	42	0.3333333333333333
chr10q26	False	200	76	0.38
chr11p11	False	145	50	0.3448275862068966
chr11p12	False	19	7	0.3684210526315789
chr11p14	False	56	15	0.26785714285714285
chr11q12	False	333	118	0.35435435435435436
chr11q13	False	421	210	0.498812351543943
chr11q14	False	141	39	0.2765957446808511
chr11q22	False	98	38	0.3877551020408163
chr11q23	False	205	97	0.47317073170731705
chr11q24	False	183	57	0.3114754098360656
chr11q25	False	31	11	0.3548387096774194
chr12p11	False	77	31	0.4025974025974026
chr12p12	False	107	36	0.3364485981308411
chr12p13	False	333	158	0.4744744744744745
chr12q12	False	58	21	0.3620689655172414
chr12q13	False	407	201	0.49385749385749383
chr12q14	False	105	35	0.3333333333333333
chr12q15	False	55	20	0.36363636363636365
chr12q21	False	128	43	0.3359375
chr12q22	False	51	15	0.29411764705882354
chr12q23	False	145	66	0.45517241379310347
chr12q24	False	390	182	0.4666666666666667
chr13q11	False	23	0	0.0
chr13q12	False	232	54	0.23275862068965517
chr13q13	False	78	22	0.28205128205128205
chr13q14	False	240	69	0.2875
chr13q22	False	61	11	0.18032786885245902
chr13q31	False	97	5	0.05154639175257732
chr13q32	False	95	23	0.24210526315789474
chr13q33	False	55	13	0.23636363636363636
chr14q11	False	325	74	0.2276923076923077
chr14q12	False	101	45	0.44554455445544555
chr14q13	False	59	18	0.3050847457627119
chr14q21	False	91	25	0.27472527472527475
chr14q22	False	90	45	0.5
chr14q23	False	124	51	0.4112903225806452
chr14q24	False	191	92	0.4816753926701571
chr14q31	False	56	13	0.23214285714285715
chr14q32	False	546	112	0.20512820512820512
chr15q11	False	208	14	0.0673076923076923
chr15q12	False	15	2	0.13333333333333333
chr15q13	False	87	28	0.3218390804597701
chr15q14	False	56	21	0.375
chr15q15	False	143	82	0.5734265734265734
chr15q21	False	167	76	0.4550898203592814
chr15q22	False	124	57	0.4596774193548387
chr15q23	False	65	31	0.47692307692307695
chr15q24	False	116	51	0.4396551724137931
chr15q25	False	152	60	0.39473684210526316
chr15q26	False	193	65	0.33678756476683935
chr16p11	False	263	102	0.38783269961977185
chr16p12	False	164	76	0.4634146341463415
chr16p13	False	407	207	0.5085995085995086
chr16q11	False	12	7	0.5833333333333334
chr16q12	False	96	29	0.3020833333333333
chr16q13	False	40	21	0.525
chr16q21	False	74	32	0.43243243243243246
chr16q22	False	179	112	0.6256983240223464
chr16q23	False	104	46	0.4423076923076923
chr16q24	False	130	66	0.5076923076923077
chr17p11	False	199	60	0.3015075376884422
chr17p12	False	63	18	0.2857142857142857
chr17p13	False	336	196	0.5833333333333334
chr17q11	False	161	76	0.4720496894409938
chr17q12	False	143	85	0.5944055944055944
chr17q21	False	457	203	0.4442013129102845
chr17q22	False	86	34	0.3953488372093023
chr17q23	False	112	46	0.4107142857142857
chr17q24	False	94	28	0.2978723404255319
chr17q25	False	297	172	0.5791245791245792
chr18p11	False	201	58	0.2885572139303483
chr18q11	False	80	25	0.3125
chr18q12	False	96	35	0.3645833333333333
chr18q21	False	189	63	0.3333333333333333
chr18q22	False	61	20	0.32786885245901637
chr18q23	False	39	13	0.3333333333333333
chr19p12	False	111	29	0.26126126126126126
chr19p13	False	773	467	0.6041397153945667
chr19q13	False	1165	642	0.5510729613733906
chr2p11	False	205	37	0.18048780487804877
chr2p12	False	53	7	0.1320754716981132
chr2p13	False	137	61	0.44525547445255476
chr2p14	False	58	18	0.3103448275862069
chr2p15	False	43	16	0.37209302325581395
chr2p16	False	114	25	0.21929824561403508
chr2p21	False	80	29	0.3625
chr2p22	False	98	39	0.3979591836734694
chr2p23	False	145	82	0.5655172413793104
chr2p24	False	74	20	0.2702702702702703
chr2p25	False	117	41	0.3504273504273504
chr2q11	False	146	61	0.4178082191780822
chr2q12	False	79	20	0.25316455696202533
chr2q13	False	59	18	0.3050847457627119
chr2q14	False	154	51	0.33116883116883117
chr2q21	False	146	27	0.18493150684931506
chr2q22	False	68	9	0.1323529411764706
chr2q23	False	51	18	0.35294117647058826
chr2q24	False	125	41	0.328
chr2q31	False	167	63	0.3772455089820359
chr2q32	False	108	36	0.3333333333333333
chr2q33	False	195	63	0.3230769230769231
chr2q34	False	45	15	0.3333333333333333
chr2q35	False	126	55	0.4365079365079365
chr2q36	False	82	28	0.34146341463414637
chr20p11	False	145	33	0.22758620689655173
chr20p12	False	104	31	0.2980769230769231
chr20p13	False	117	52	0.4444444444444444
chr20q11	False	237	81	0.34177215189873417
chr20q12	False	24	4	0.16666666666666666
chr20q13	False	400	159	0.3975
chr21p11	False	38	4	0.10526315789473684
chr21p12	False	14	4	0.2857142857142857
chr21q11	False	46	2	0.043478260869565216
chr21q21	False	119	18	0.15126050420168066
chr21q22	False	353	111	0.31444759206798867
chr22q11	False	384	104	0.2708333333333333
chr22q12	False	213	95	0.4460093896713615
chr22q13	False	305	159	0.521311475409836
chr3p11	False	24	6	0.25
chr3p12	False	66	7	0.10606060606060606
chr3p13	False	40	8	0.2
chr3p14	False	122	47	0.38524590163934425
chr3p21	False	304	166	0.5460526315789473
chr3p22	False	165	66	0.4
chr3p23	False	10	2	0.2
chr3p24	False	99	27	0.2727272727272727
chr3p25	False	145	69	0.47586206896551725
chr3p26	False	44	14	0.3181818181818182
chr3q11	False	50	11	0.22
chr3q12	False	46	20	0.43478260869565216
chr3q13	False	187	73	0.39037433155080214
chr3q21	False	138	56	0.4057971014492754
